address,PERIODIC_EXECUTION_score,PERIODIC_EXECUTION_support_n,PERIODIC_EXECUTION_state,PERIODIC_EXECUTION_reasons,SCRIPT_TEMPLATE_REPETITION_score,SCRIPT_TEMPLATE_REPETITION_support_n,SCRIPT_TEMPLATE_REPETITION_state,SCRIPT_TEMPLATE_REPETITION_reasons,BATCH_DISTRIBUTION_score,BATCH_DISTRIBUTION_support_n,BATCH_DISTRIBUTION_state,BATCH_DISTRIBUTION_reasons,FAN_IN_COLLECTION_score,FAN_IN_COLLECTION_support_n,FAN_IN_COLLECTION_state,FAN_IN_COLLECTION_reasons,CELL_CONSOLIDATION_score,CELL_CONSOLIDATION_support_n,CELL_CONSOLIDATION_state,CELL_CONSOLIDATION_reasons,CELL_FRAGMENTATION_score,CELL_FRAGMENTATION_support_n,CELL_FRAGMENTATION_state,CELL_FRAGMENTATION_reasons,ROUND_TRIP_score,ROUND_TRIP_support_n,ROUND_TRIP_state,ROUND_TRIP_reasons,IRREGULAR_ACTIVITY_score,IRREGULAR_ACTIVITY_support_n,IRREGULAR_ACTIVITY_state,IRREGULAR_ACTIVITY_reasons,DAO_ACTIVITY_score,DAO_ACTIVITY_support_n,DAO_ACTIVITY_state,DAO_ACTIVITY_reasons,top_archetype,top_score,is_scripted,touches_cellbase_directly,n_cellbase_inputs_direct,n_tx_in_window
ckb1qr2g8yj3vrjzx2evk20szt5rszmmvykhrn6w0xv3ga4khnmpqu6lvqq3u8mhh,0.0,3,OK,,0.75,2,OK,DOMINANT_TX_SHAPE;SINGLE_LOCK_SCRIPT,0.0,3,OK,MANY_DISTINCT_RECIPIENTS,0.0,2,OK,,0.0,2,OK,FEW_DISTINCT_SOURCES,0.0,2,OK,,0.33405994550408713,3,OK,NEAR_ZERO_NET_FLOW,0.7430490637692666,4,OK,HIGH_INTERVAL_VARIANCE;VARIED_TIME_OF_DAY;VARIED_DAY_OF_WEEK,0.0,1,OK,,IRREGULAR_ACTIVITY,0.7430490637692666,True,False,0.0,1555
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq82w09dxh4f3gl6se95l7k0g3n3wjjsgdstzvp4c,0.05555555555555555,2,OK,,0.4166666666666667,2,OK,SINGLE_LOCK_SCRIPT,0.39727600544794656,3,OK,FANOUT_DOMINANT_SHAPE,0.0,2,OK,,0.0,2,OK,,0.4290720840572484,2,OK,1_TO_N_SHAPE,0.21179841359515775,3,OK,,0.526338781239718,4,OK,HIGH_INTERVAL_VARIANCE,0.0,1,OK,,IRREGULAR_ACTIVITY,0.526338781239718,False,False,0.0,9
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq84zvv7khuuad70n45llzf9p6zahk9680sw2qed8,0.15254132033698778,3,OK,,0.38579136690647486,2,OK,SINGLE_LOCK_SCRIPT,0.41753216359164735,3,OK,FANOUT_DOMINANT_SHAPE;MANY_DISTINCT_RECIPIENTS,0.0,2,OK,MANY_DISTINCT_SENDERS,0.0,2,OK,,0.29770747406264586,2,OK,1_TO_N_SHAPE,0.6657667075191199,3,OK,HIGH_RECIPROCITY_CELL;HIGH_RECIPROCITY_LEGACY_EDGES;NEAR_ZERO_NET_FLOW,0.8460349952892552,4,OK,HIGH_INTERVAL_VARIANCE;VARIED_TIME_OF_DAY;VARIED_DAY_OF_WEEK,0.0,1,OK,,IRREGULAR_ACTIVITY,0.8460349952892552,False,False,0.0,556
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8897n3kut095xgled9dpczz0t7hg7w87un0vrnk,0.5558451249959777,3,OK,LOW_INTERVAL_VARIANCE,0.6645833333333333,2,OK,DOMINANT_TX_SHAPE;SINGLE_LOCK_SCRIPT,0.06915119211145872,3,OK,,0.0,2,OK,,0.0,2,OK,FEW_DISTINCT_SOURCES,0.08795977723173584,2,OK,,0.5535113207342476,3,OK,HIGH_RECIPROCITY_CELL;HIGH_RECIPROCITY_LEGACY_EDGES;NEAR_ZERO_NET_FLOW,0.46067601185389095,4,OK,VARIED_DAY_OF_WEEK,0.0,1,OK,,PERIODIC_EXECUTION,0.5558451249959777,False,False,0.0,720
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq88k0gf2lakdjuntl04ux2mjyalezj598vqnuj2y,,0,INSUFFICIENT_EVIDENCE,,,0,INSUFFICIENT_EVIDENCE,,,0,INSUFFICIENT_EVIDENCE,,,0,INSUFFICIENT_EVIDENCE,,,0,INSUFFICIENT_EVIDENCE,,,0,INSUFFICIENT_EVIDENCE,,,0,INSUFFICIENT_EVIDENCE,,,0,INSUFFICIENT_EVIDENCE,,0.0,1,OK,,INSUFFICIENT_EVIDENCE,,False,False,0.0,0
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq899vvrx27ql0lgaj7x39zamtj8m5twumgvv6h4q,0.41194790400651693,2,OK,,0.6650943396226415,2,OK,DOMINANT_TX_SHAPE;SINGLE_LOCK_SCRIPT,0.4824797047937616,3,OK,FANOUT_DOMINANT_SHAPE,0.0,2,OK,,0.0,2,OK,,0.7858443236909737,2,OK,1_TO_N_SHAPE;FEW_DISTINCT_DESTINATIONS,0.2107908118382201,3,OK,,0.3808493991316671,4,OK,VARIED_DAY_OF_WEEK,0.0,1,OK,,CELL_FRAGMENTATION,0.7858443236909737,False,False,0.0,53
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq89qeq8sz02jymcmc8nm5qsfmwyxtvqemvnunp36,0.03180212014134273,3,OK,,0.36837455830388693,2,OK,SINGLE_LOCK_SCRIPT,0.36096905858735384,3,OK,MANY_DISTINCT_RECIPIENTS;EVEN_CAPACITY_SPREAD,0.00675411128688052,2,OK,MANY_DISTINCT_SENDERS,0.0035335689045936,2,OK,,0.20643628783650933,2,OK,,0.37421674375733516,3,OK,NEAR_ZERO_NET_FLOW,0.8163406543809439,4,OK,HIGH_INTERVAL_VARIANCE;VARIED_TIME_OF_DAY;VARIED_DAY_OF_WEEK;MIXED_TX_SHAPES,0.0,1,OK,,IRREGULAR_ACTIVITY,0.8163406543809439,False,False,0.0,283
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq89s0k62mh0xf6hn8cc20wunuarrumudx5nwq9uk,0.5268674282545949,3,OK,,0.7371165644171778,2,OK,DOMINANT_TX_SHAPE;SINGLE_LOCK_SCRIPT,0.009346036834798855,3,OK,,0.0,2,OK,,0.0,2,OK,FEW_DISTINCT_SOURCES,0.01522246412162122,2,OK,FEW_DISTINCT_DESTINATIONS,0.6643148224860491,3,OK,HIGH_RECIPROCITY_CELL;HIGH_RECIPROCITY_LEGACY_EDGES;NEAR_ZERO_NET_FLOW,0.5158149879516851,4,OK,VARIED_TIME_OF_DAY;VARIED_DAY_OF_WEEK,0.0,1,OK,,ROUND_TRIP,0.6643148224860491,True,False,0.0,815
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8crqpcx3nq9p23h8ep5zzpga67ygfd73scdttd5,,0,INSUFFICIENT_EVIDENCE,,0.75,1,OK,DOMINANT_TX_SHAPE;SINGLE_LOCK_SCRIPT,0.5440728585972205,3,OK,FANOUT_DOMINANT_SHAPE,0.0,2,OK,,0.0,2,OK,FEW_DISTINCT_SOURCES,0.8861648756515235,2,OK,1_TO_N_SHAPE;FEW_DISTINCT_DESTINATIONS,0.27051285328963937,3,OK,NEAR_ZERO_NET_FLOW,,0,INSUFFICIENT_EVIDENCE,,0.0,1,OK,,CELL_FRAGMENTATION,0.8861648756515235,True,False,0.0,3
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8gauytada8x688zt0makt3pjmdaad6u8uym77ef,0.11107170088510289,3,OK,,0.45731707317073167,2,OK,SINGLE_LOCK_SCRIPT,0.173356254770067,3,OK,,0.020380537322403705,2,OK,MANY_DISTINCT_SENDERS,0.013819250707531417,2,OK,,0.1493614543954972,2,OK,,0.3867809740083717,3,OK,NEAR_ZERO_NET_FLOW,0.772739519541251,4,OK,HIGH_INTERVAL_VARIANCE;VARIED_TIME_OF_DAY;VARIED_DAY_OF_WEEK,0.0,1,OK,,IRREGULAR_ACTIVITY,0.772739519541251,False,False,0.0,41
