address,n_tx_in_window,tx_per_window_day,active_span_days,tx_per_active_day,gap_mean_s,gap_median_s,gap_cv,burstiness,hour_of_day_entropy,day_of_week_entropy,sent_tx_count,received_tx_count,sent_edge_count,received_edge_count,sent_total_ckb,received_total_ckb,net_flow_ckb,sent_mean_ckb,sent_median_ckb,sent_cv,received_mean_ckb,received_median_ckb,received_cv,unique_counterparties_out,unique_counterparties_in,reciprocity_ratio,out_value_concentration_hhi,in_value_concentration_hhi,max_single_tx_ckb,n_dao_events,dao_total_ckb,dao_event_rate,has_dao_activity,detail_coverage
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfzz2s8jscd5wm0faglpyxl5w3t8fyk69gthp4j7,-0.12429548997969196,-0.10331490126692931,0.28564003350290024,-0.7203722494902568,1.6983350330683942,0.7694167847333832,0.8736194958076264,0.6425207027281652,1.232529158698915,-0.12483248791082792,-0.033100808049413344,-0.11908564119973034,-0.048897784072817745,-0.15849420668734746,1.6362116054651885,2.6240200061811816,-0.9086573138741229,2.7665496957600197,2.814654626238708,-0.1432693637402123,2.54567444867867,2.9107625695598833,0.7531648402939856,0.0,0.0,1.0,0.0,0.0,1.9380233705094487,0.0,0.0,0.0,0.0,0.0
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2ul0rt55hnp2e2nzzhfkep4xtc3l88rxqes83vq,0.37050425223132116,0.8921918724532649,0.46223627309906795,0.11950957831084634,-0.1197127083919153,-0.6794887248238072,0.5472363702949221,0.45918705942403193,1.3243163566903553,-0.01600322758049615,0.34509995462796916,0.4718068306291439,0.3624737830924837,0.9192824746488615,1.61359893883944,3.1756589069269245,1.055145565610022,2.206216299551306,2.236548632286832,0.1337056886185451,1.924118958170033,2.3736892364300353,0.019909017351463464,2.7095112913514536,8.710806433699352,0.003575685339690107,-3.386644166459608,-1.9818234433468396,1.7368874152359126,0.0,0.0,0.0,0.0,0.0
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvdzl6lke4a3epsg4pt8xm024zlth6prushfxpta,-0.7900833507669089,-0.22151054699761152,-0.5928812165553505,0.0,0.0,0.0,0.0,0.0,-0.3992070570723769,-1.5379389945779218,-0.7044131239549859,-0.7216417873835473,-0.7790888008662336,-0.79615091801856,-2.2434195516864803,2.2318834889883354,0.9031863143552807,0.0,0.0,0.0,2.9995766853425754,3.5347625186339906,-0.5453374138143248,-1.7095112913514543,0.0,0.0,0.0,0.0,1.942926333041155,0.0,0.0,0.0,0.0,0.0
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqv7nn9j6tfzxufy3v6enaren4n9ds6f0dqvkwddv,-0.11287417444283954,-0.0961303215209309,-0.5342756832520325,0.3706532215286848,-0.3708007808070749,0.3906664864969732,-0.6487990522705485,-1.1256298133730558,0.45922142132326754,-0.005161818047572278,-0.48308458378404284,-0.0030317901166369322,-0.5383482275686691,0.015853153078743375,0.5968598561246832,2.1355022209400776,0.8864953434524958,1.7535541965598724,1.896256866669627,0.04750014768760926,1.9303722614526055,0.31905655304382563,8.691217168830212,0.0,2.4594316186372973,0.0,0.0,-0.10758120690087983,1.8615899931854358,0.0,0.0,0.0,0.0,0.0
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdmvgx9866nn68gsfshgy660unf97wzfcgcxrvec,0.6126085989794569,2.1325358865323434,0.48194264664838266,1.1649593493810635,-1.0530665056034818,-0.23331629850041632,-0.3533448810777683,-0.4850977087712148,1.2793444670983607,0.015112378829134089,0.44535226327077876,0.7578875295820939,0.4715189077674753,1.0591513946250752,1.3133287140237762,2.329527659181481,0.8862426041641646,1.5706336578298405,1.6085174220182026,0.15505726618039856,1.030268879028213,0.2999717456828666,7.899248267521301,3.709511291351454,9.108524456778168,0.0045207956600361665,-0.8139142207062154,-1.7681634239687167,1.3648920216098979,0.0,0.0,0.0,0.0,0.0
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgjdw5vq6y0me78r46vf29flspd83qy9us3p3jgp,0.7263636699562848,2.8541059371966413,0.4041294450028517,1.8614526990706994,-1.5538781405856141,-0.6582659885926391,5.227237503105208,1.4521632172307404,0.9264997516126277,0.016203206074954228,-0.20379906116727586,0.8999939626888434,-0.23456744639810154,1.3376413083049306,0.9830718674418706,2.2062776649227867,0.8935336449339636,1.9278880477927092,1.6838998824171263,0.7036318731213147,0.6354397845505196,0.30382024253819045,105.4719125557973,1.7095112913514543,8.513727595952437,0.0027359781121751026,-3.286368931872218,-1.447246548618553,1.794270324406053,0.0,0.0,0.0,0.0,0.0
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqw20ylwscm8q35fdgh6vvl0mjpmg4p3macchmmr6,-0.21714895649439475,-0.14905547404337977,0.2920845281176698,-0.7679920070550137,2.0815743078870743,1.3466813046342136,-0.18164564855255527,-0.22240353594548257,0.9071069181168687,-0.22555028983974684,-0.13362852605737768,-0.2131252974453941,-0.1582424734058858,-0.25801193348526585,1.0210645864753132,2.0435071837342025,0.8574027874720275,1.888328016218374,1.977324148513044,-0.029239959850732813,2.1363668542984473,2.1446880977169434,3.2074903786933406,2.2598510045646623,1.0,0.16666666666666666,-4.034018302055912,-0.739739603029382,1.744665176561888,0.0,0.0,0.0,0.0,0.0
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfs6k9ygrwtdrn828l4a04ns9fnes960jg3x8k26,-0.7900833507669089,-0.22151054699761152,-0.5928812165553505,0.0,0.0,0.0,0.0,0.0,-0.3992070570723769,-1.5379389945779218,-0.7044131239549859,-0.7216417873835473,-0.7790888008662336,-0.79615091801856,-2.2434195516864803,-0.9118620204830755,0.37998626060603685,0.0,0.0,0.0,0.21136913714993127,0.3381691544739044,-0.5453374138143248,-1.7095112913514543,0.0,0.0,0.0,0.0,-0.5317057293997052,0.0,0.0,0.0,0.0,0.0
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq09qn6u0gmgf2fxgw6re5ntcaexrxlsrmsls56gk,-0.7125380680447665,-0.21955603082058978,-0.5430374734526858,-0.7746653473052438,0.0,0.0,0.0,0.0,0.0,-0.9842553456576908,-0.5647703626466023,-0.7216417873835473,-0.5383482275686691,-0.79615091801856,1.0514889305173554,1.782197929875728,-0.0037253727740728195,2.508557515428946,2.618024743977974,0.04152931770742816,2.600747751367631,3.0775175317585504,-0.5453374138143248,1.0,0.0,0.0,-0.04217595973000189,0.0,1.5889516556240222,0.0,0.0,0.0,0.0,0.0
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqta6nhp4728qf2825cqule68ahw6ke55cgswr6t8,-0.7125380680447665,-0.21955603082058978,-0.5534434155829991,-0.7568337065809642,0.0,0.0,0.0,0.0,0.0,-0.9842553456576908,-0.5647703626466023,-0.7216417873835473,-0.5383482275686691,-0.79615091801856,1.0361935215800453,1.7589886410114166,-0.0037253727740728195,2.4831564021549584,2.5937417942864456,-0.39058563605798,2.5801632879609424,3.053918083728482,-0.5453374138143248,1.0,0.0,0.0,-2.3753790123649905,0.0,1.5706822218555956,0.0,0.0,0.0,0.0,0.0
