k,inertia,silhouette
2,28041.606733887078,0.9273857741075916
3,22501.312849811482,0.48015899005747875
4,19920.555588360363,0.22803031135589785
5,18092.298694665675,0.15797456448969
6,16400.82578703043,0.15851829859897276
7,15038.639062036069,0.16416959572961504
8,13868.391270475986,0.1715291034252785
9,12997.172370517881,0.17721086452929227
10,12287.097716982084,0.18427696509781313
