address,n_tx_cell_layer,shape_1_to_1_ratio,shape_1_to_n_ratio,shape_n_to_1_ratio,shape_n_to_n_ratio,topology_state,n_inputs_total,cell_lifetime_support_n,cell_lifetime_support_ratio,cell_lifetime_mean_s,cell_lifetime_median_s,cell_lifetime_cv,same_block_spend_ratio,lifecycle_state,lock_hash_known_ratio,n_distinct_lock_hashes,lock_family_primary,multisig_usage_ratio,lock_state,has_type_script_ratio,n_distinct_type_hashes,uses_since_ratio,since_support_n,repeated_since_value_ratio,since_state,unique_counterparties_out_cell,unique_counterparties_in_cell,reciprocity_ratio_cell,out_capacity_concentration_hhi_cell,out_capacity_entropy_cell,network_state,sent_capacity_ckb_cell,received_capacity_ckb_cell,net_capacity_delta_ckb_cell,n_cellbase_inputs_direct,touches_cellbase_directly
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgzgak4nyyfjzlcnx6lel86kkl9wmn8cmqg5mv52,523,0.0,0.780114722753346,0.0,0.2198852772466539,OK,287.0,287.0,1.0,2585484527.9512196,264660575.0,1.8765050746131218,0.0,OK,1.0,1,secp256k1_blake160_sighash_all,0.0,OK,0.0,0.0,0.0,287.0,,OK,106,1,0.009433962264150943,0.5552089856079113,0.27098544339302727,OK,8772425922.026976,9188964062.699894,416538140.6729183,0,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0w6cnm7hle7fxvua79nw2nelyyzemc8zcrphyge,18,0.1111111111111111,0.5555555555555556,0.0,0.3333333333333333,OK,24.0,19.0,0.7916666666666666,208006961.57894737,131076.0,1.9504906656093175,0.0,OK,1.0,1,secp256k1_blake160_sighash_all,0.0,OK,0.45454545454545453,1.0,0.0,24.0,,OK,1,0,0.0,1.0,,OK,1432369649.2126253,1432369649.92272,0.710094690322876,0,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqg7amrm9saduc4acdzlerezh8x02rnlhpgctv0fh,38,0.0,0.2631578947368421,0.0,0.7368421052631579,OK,30.0,30.0,1.0,6174976921.333333,4908634321.0,0.9951553531286554,0.0,OK,1.0,1,secp256k1_blake160_sighash_all,0.0,OK,0.0,0.0,0.0,30.0,,OK,1,2,0.5,1.0,,OK,2729062435.20899,3051015700.1328588,321953264.92386866,0,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqt6knef6c2z0fu3jn04zqhw2e6sk98a3gsrn64xu,4,0.0,1.0,0.0,0.0,OK,2.0,2.0,1.0,4043309.5,4043309.5,0.9161862330845562,0.0,INSUFFICIENT_EVIDENCE,1.0,1,secp256k1_blake160_sighash_all,0.0,OK,0.0,0.0,0.0,2.0,,INSUFFICIENT_EVIDENCE,2,1,0.0,0.5555555555555556,0.9182958340544894,OK,30000300.0,330000299.99997,299999999.99997,0,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfwcjzujntvxpmcjmpt4r6pd4mvxu89k4sr3244x,126,0.11904761904761904,0.48412698412698413,0.007936507936507936,0.3888888888888889,OK,239.0,99.0,0.41422594142259417,17888717836.38384,18784708570.0,0.8123127756417176,0.0,OK,1.0,1,secp256k1_blake160_sighash_all,0.0,OK,0.11347517730496454,1.0,0.0,239.0,,OK,3,1,0.0,0.9802935586748925,0.05104594216210394,OK,419529147.61114943,496278584.9365646,76749437.3254152,0,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdm3dkt45znks4ckxyvgrn6s8e2fycz7tqhatyac,77,0.03896103896103896,0.5194805194805194,0.05194805194805195,0.38961038961038963,OK,76.0,72.0,0.9473684210526315,3485333598.0277777,1295374261.5,1.3875173957722629,0.0,OK,1.0,1,secp256k1_blake160_sighash_all,0.0,OK,0.02531645569620253,1.0,0.0,76.0,,OK,2,4,0.2,0.5387149223173222,0.943402083920307,OK,677513636.2722808,811179579.8543502,133665943.5820694,0,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq26xzankvzzjswhy449c3y76vnmm8fngrcvqcl6s,11,0.0,0.45454545454545453,0.0,0.5454545454545454,OK,7.0,4.0,0.5714285714285714,30892094.25,12262120.5,1.1053074902832738,0.0,INSUFFICIENT_EVIDENCE,1.0,1,secp256k1_blake160_sighash_all,0.0,OK,0.0,0.0,0.0,7.0,,OK,1,22,0.045454545454545456,1.0,,OK,119347499.9999318,124756999.99990185,5409499.999970049,0,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqwtrv4yvp4w4ujz0cxgp29tc0nuug4c5cs3ltm8j,1,0.0,0.0,0.0,1.0,OK,,,,,,,,,1.0,1,secp256k1_blake160_sighash_all,0.0,OK,0.0,0.0,,,,,0,2,0.0,,,OK,0.0,208693713.75343695,208693713.75343695,0,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvjpnzdqgz2pqdmn72qmm3wus9je59wheqangdzf,894,0.319910514541387,0.003355704697986577,0.6655480984340044,0.011185682326621925,OK,563.0,563.0,1.0,6709590447.6358795,6780118638.0,0.47975761050461335,0.0,OK,1.0,1,secp256k1_blake160_sighash_all,0.0,OK,0.0,0.0,0.0,563.0,,OK,1,89,0.011235955056179775,1.0,,OK,1043084715.3503752,1223967109.692134,180882394.34175873,0,False
ckb1qpw9q60tppt7l3j7r09qcp7lxnp3vcanvgha8pmvsa3jplykxn32sqf352eynr4y9zl66sdxjcef3a6z9uqhkncsaanyg,21,0.047619047619047616,0.6666666666666666,0.0,0.2857142857142857,OK,24.0,20.0,0.8333333333333334,3353193480.85,1510731601.5,1.9439926604013742,0.0,OK,1.0,1,unrecognized,0.0,OK,0.0,0.0,0.0,24.0,,OK,9,2,0.0,0.1531494846566579,0.9079640658700707,OK,293908948.5414848,216675855.28825656,-77233093.25322822,0,False
