address,candidate_pool,source_signal,explorer_url,top_archetype,top_score,is_scripted,cluster_label,touches_cellbase_directly,wallet_status,verified_label,verified_notes,verified_by,verified_date
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqym5d4n465eu93tdcz5sycepdkatjahp9uwdcpfy,bot_candidate,top_archetype=PERIODIC_EXECUTION score=0.46,https://explorer.nervos.org/address/ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqym5d4n465eu93tdcz5sycepdkatjahp9uwdcpfy,PERIODIC_EXECUTION,0.4648990505129101,False,low_out_hhi_cell+low_out_hhi,False,active,,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqg60za567aggkr4kdukm540wrujl4xn83g5sff6z,bot_candidate,top_archetype=CELL_FRAGMENTATION score=0.99 is_scripted,https://explorer.nervos.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqg60za567aggkr4kdukm540wrujl4xn83g5sff6z,CELL_FRAGMENTATION,0.9901960784313726,True,high_in_counterparties_cell+high_in_counterparties,False,active,,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqggtmv990h0ggv7g747uk0mj422sf3anps8teujc,bot_candidate,top_archetype=PERIODIC_EXECUTION score=0.60,https://explorer.nervos.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqggtmv990h0ggv7g747uk0mj422sf3anps8teujc,PERIODIC_EXECUTION,0.6040652370547326,False,high_in_counterparties_cell+high_in_counterparties,False,active,,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvdd6sal6kly783vvjjs7z67v96lrelzss078v03,bot_candidate,top_archetype=PERIODIC_EXECUTION score=0.58,https://explorer.nervos.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvdd6sal6kly783vvjjs7z67v96lrelzss078v03,PERIODIC_EXECUTION,0.5752927571044778,False,high_in_counterparties_cell+high_in_counterparties,False,active,,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0anxptffq8enukzzyc9yjry5kt3ugua2gg39eh9,bot_candidate,top_archetype=PERIODIC_EXECUTION score=0.50 is_scripted,https://explorer.nervos.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0anxptffq8enukzzyc9yjry5kt3ugua2gg39eh9,PERIODIC_EXECUTION,0.4982843872557612,True,high_in_counterparties_cell+high_in_counterparties,False,active,,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqt5hd8ra55wkxyswhn2w70tvgp8pzwvapqeasdg3,bot_candidate,top_archetype=CELL_FRAGMENTATION score=0.86 is_scripted,https://explorer.nervos.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqt5hd8ra55wkxyswhn2w70tvgp8pzwvapqeasdg3,CELL_FRAGMENTATION,0.8601012028382433,True,high_in_counterparties_cell+high_in_counterparties,False,active,,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqwzq09g8qd95he6qjne0delv4gt4wpzh7su5cj2q,bot_candidate,top_archetype=PERIODIC_EXECUTION score=0.50,https://explorer.nervos.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqwzq09g8qd95he6qjne0delv4gt4wpzh7su5cj2q,PERIODIC_EXECUTION,0.5004281873971254,False,high_in_counterparties_cell+high_in_counterparties,False,active,,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdj4umj7up8wpnzcfyfluuedu62pk2sk2c5lwnrt,bot_candidate,top_archetype=PERIODIC_EXECUTION score=0.61,https://explorer.nervos.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdj4umj7up8wpnzcfyfluuedu62pk2sk2c5lwnrt,PERIODIC_EXECUTION,0.6050304100691254,False,high_in_counterparties_cell+high_in_counterparties,False,active,,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqwuu3rvzwd5vm6wn45ql8qjgrw6tqh0cvgrxrwtu,bot_candidate,top_archetype=PERIODIC_EXECUTION score=0.59,https://explorer.nervos.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqwuu3rvzwd5vm6wn45ql8qjgrw6tqh0cvgrxrwtu,PERIODIC_EXECUTION,0.5886771203099258,False,high_in_counterparties_cell+high_in_counterparties,False,active,,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqt2gnkqzr9sm0q9syuahhy9mgu9hx3r5pg74y4jz,human_candidate,top_archetype=IRREGULAR_ACTIVITY score=0.91,https://explorer.nervos.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqt2gnkqzr9sm0q9syuahhy9mgu9hx3r5pg74y4jz,IRREGULAR_ACTIVITY,0.9101276075139828,False,low_out_hhi_cell+low_out_hhi,False,active,,,,
