PC1,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC2,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC3,PC30,PC31,PC32,PC33,PC34,PC4,PC5,PC6,PC7,PC8,PC9,wallet
-2.041535153706271,0.7974084430250993,-0.5137184790664521,0.5263235433431841,0.14538306054523922,-0.030047630016817643,1.1199660008087091,-0.7135803529558441,-0.2752263479353015,-0.03127050940516041,0.8228015025346024,1.0141299701075042,-0.05180692975846886,0.6022991320014796,0.3172583148970534,0.5294157765607156,-0.031063818604399326,-0.1878988375522079,0.18873049007239429,-0.017527513797771618,-0.00852997683255796,0.1218441408465618,1.056503341401985,-0.09949268006091277,0.07360517522807698,-0.03105835778770998,0.04077376824826148,-2.5867190488922366e-14,0.33992376216184195,3.8173822555638393,-0.23730347671690386,0.08410561742616882,2.0762564871357467,-1.2367874166223938,ckb1qpl0dc3xe2dr299vwe6e7zc42rnsex4pptlcjyglahevnkqq6ft0wqgw8xxul
-2.150510046640857,0.8574216415592378,-0.535780739032971,1.27960133581869,-0.14549721946465755,0.6847785166166045,0.11869307535546757,0.3687243810048487,0.10645692269802517,0.10649876626685481,0.8048584845666641,-1.607679935580972,0.09787746511952626,0.09504173856636872,0.35769598521774626,-0.02229139726489175,-0.03043296195255644,0.1717637327158721,-0.012586558651219477,-0.02672955793768572,0.2785380283276819,-0.06472423117669097,0.9560789783747251,-0.2549557428106123,-0.05489425241603179,0.08968197940338131,-0.18286794216234703,8.44135683205056e-14,0.1969159510232894,3.059197895769476,1.0109780225087923,0.692725619478387,0.9395191241760065,-0.9552413448679079,ckb1qpw9q60tppt7l3j7r09qcp7lxnp3vcanvgha8pmvsa3jplykxn32sqgwvhnrqkx9ka45f2cnc90fy30m3scpupqggwawq
0.08014083950892806,-0.4537440042814745,-1.8365805716159982,-0.6502130021843663,-0.08480039032757593,0.44654230831890607,0.5568040134753239,0.255956423142026,0.90313317750486,-0.42823860943407904,0.49337545691693396,1.436528063180815,0.2948731263438331,-0.5859273827794942,0.8816017909311236,-0.33014800265071387,-0.3155340345986587,0.043043047815833124,0.01846728777353531,0.07055279002945433,-0.011925488475678878,0.13562118495780287,-0.6798043728762495,0.0188315577972624,0.014040029260353215,0.0911380405415983,-0.026995701033236088,-1.1431429812547285e-14,-0.11259679138888061,2.5738855593724,-0.5940136840917648,-1.378145113671199,-2.7187085465523566,-3.226077572379189,ckb1qqcratfhhe0whl8n2pyyw9248r9kyw3x7gmkp80jf0ffvagvzgc8sqgdzm4fw
-2.2953768574072537,-0.09860178680230973,0.5684329397063583,-0.9066445451366139,-0.8862560182820733,-1.401948700356363,-0.5059692615228588,-0.7582743253924918,-0.6612372888186102,0.3832591454758733,-0.10509459583699467,-1.550298881672568,0.3490875162585934,-0.1851111340912902,0.05073128259323678,0.031804171529466845,0.1830026056124612,-0.13999553616395205,-0.4222347485087195,-0.5308777031884591,0.2954283508907882,-0.15822016617333515,-1.0667517317874784,0.08979694650385386,0.17597518131208226,0.05414340444660961,-0.08616214786144458,1.3890052728415055e-14,1.3253275124494792,0.8012020065799879,-0.964397661478918,0.2349480342386904,-0.15865389368147287,-0.4591978553327663,ckb1qqcz6dvc97r9a097mwdfxc8yq5cw6v4dhrsskshmhecdsvf07l8d7qfg6grazjdwmf9uzf8deshhr9wsn85w2l66e8d9g7gpz0gveu28zv6pk3z4
-1.536992832484128,0.3127966358406936,2.0828885358204943,-0.665328268585057,-0.2802181851378851,-0.7844003857601743,1.489761026116945,-2.167357750484716,-1.9520408500768662,-0.027787861020193094,0.928145839543877,8.201962759779315,-0.2992080192593927,0.5216928065468741,-0.1487879714342367,1.128852906500729,0.5775888226158994,0.696139971106333,0.3521793644214164,-0.002826080322112176,0.027098356223927426,-0.028964741790243456,3.0947261128198824,0.2650428267883233,-0.12402558787097859,0.07983097061875978,0.13944802642595203,-1.2052903948067937e-13,-2.048172040467409,2.9949615644924004,-1.7596429977758132,-2.4767609215018678,3.9703822055284035,-0.31626282140809114,ckb1qqunmue4ncels5qse4j6839yy68h9k27c6cyj7q6j9kxsze3a2dgsqdc96g88lhq0ww27cjlp0j960kqvxlzyyhww4pyhk5ztgzaem7q5s6rs7mt
-2.025213114330198,-0.7859746699242045,1.4683471037363625,-0.6957890218366227,1.333250076523699,0.6376825998536517,0.28959986414037703,1.2947242132328023,0.9526783598628199,0.30750056712238,0.2518275493998339,2.7559869632202205,0.10392239958756548,0.5425587239983811,0.554323385810079,-0.4612745499644619,0.4098451641007952,-0.08524948948574816,0.12948417617668112,0.09539467662655454,-0.21466569313089878,-0.1491871076465002,0.6067079768625616,-0.239000303754928,0.05486213942265105,-0.02872473718265808,0.15157596931837972,-3.780632994784535e-14,0.24300344788070072,5.370207326441444,-1.9712869257758248,0.7220048303738439,3.7632858213398115,0.7411364284199998,ckb1qqunmue4ncels5qse4j6839yy68h9k27c6cyj7q6j9kxsze3a2dgsqvcg4qnx88s32fzxpeldkc9daejv92lx2yupu5ahmqkdhwlhm9qksdws8hd
-2.1659649030022146,1.0581508974626745,-0.28083333973263,1.767497541508384,-0.04822021011752715,-0.010878207871628845,-0.21434311104909662,0.5742031484750998,0.12488296844088355,0.4605743225900279,0.8047661350059422,-0.3157392485250149,0.177023705110852,0.1667904550250912,-0.3679225293903693,-0.08309694147996675,0.0674910114190705,0.070848970931796,-0.28914794742596217,-0.03494987429144181,0.05299522721514843,-0.13897611246767513,1.3061008686262559,0.004055722415893049,0.05202149153053453,0.10724484955659165,0.07216338267448916,-3.903261087563867e-14,-0.29003560758111296,2.7556151544978458,0.7023674694634978,0.5597258700550477,0.8232656765659662,-1.3467776747591556,ckb1qr2g8yj3vrjzx2evk20szt5rszmmvykhrn6w0xv3ga4khnmpqu6lvqq3u8mhh
-1.6212454078072942,-2.2292410176547164,-0.5077062569709699,-0.21134791226438712,1.1737765307247316,-0.2410280101085523,0.1852112957551239,0.12610788785813584,-0.5713034755859367,0.20837227385050983,0.5692581220517104,-0.618965507006532,-0.07881709599142155,-0.5010034765483178,0.09972650757652916,-0.0710795873413063,0.05160755811991362,-0.17632226363856807,-0.008296518515980884,-0.2068912002938531,-0.10239256845176203,0.018577209042493145,1.339437908065139,0.08523274778730985,0.029757214519260465,-0.021993572945483823,-0.13474516639199158,4.010015132227437e-14,-3.6604413550130706,2.592715175692816,2.619001128625025,-1.327114023284844,-1.6339564247023122,0.23853314787327565,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8897n3kut095xgled9dpczz0t7hg7w87un0vrnk
-1.7514322110035747,0.42372053853681274,-0.7714330883469146,-0.4762055455273217,0.5661515594582825,-0.16867484384859027,-2.0422258413431833,0.23304645099895338,-2.0593360035975423,-0.9319412490413584,-0.7498254614889139,5.517209521713148,-0.43615105752642147,-0.6006267573997595,-0.8013239194390306,0.4986653690820229,-0.820188209850657,-1.1630081478054546,-0.062215215990947786,0.5904968268583719,0.11635557455263555,0.5491572485078396,-1.9037974844481533,-0.3986885494589628,-0.21830991148589393,-0.005311374215495493,-0.0945122860177016,1.2578350897050868e-13,-0.7832823020579893,3.193712286254734,-5.066426873558771,-0.7336022355619728,0.6415430208053493,1.1411161594765917,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq89qeq8sz02jymcmc8nm5qsfmwyxtvqemvnunp36
10.36747347840426,0.979695949794469,-0.4184308575646524,0.7300860739596778,0.3879365358970189,-1.0228604921684812,0.12640255592607835,0.3091251781647041,-0.34420011877770984,0.8196167646987832,-0.29283396068675255,-0.8172403922312546,-0.20795940769500432,-0.11260597205926014,-0.3919283444530434,0.24548305474340693,-0.04711153760166,0.3412942774648986,0.004421217797700883,0.1342952653492107,-0.2918721413912309,0.2987638615620392,0.9409344296944162,-0.0024860012213985642,-0.04788337523352564,0.019304800951326865,-0.001787021737061119,9.423202915477918e-15,-1.6824828889798116,2.1016230160027836,1.357002639293764,-0.16052540096592396,-1.8513006878696965,2.764569468633582,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq89s0k62mh0xf6hn8cc20wunuarrumudx5nwq9uk
