component,max,mean,median,min,p01,p05,p25,p75,p95,p99,std
PC1,76.98323102657531,-5.421812039936508e-16,-2.0255062900505045,-2.5079355697595838,-2.502543786538725,-2.423646402029996,-2.270901566135115,-0.990398338764398,7.750288104860058,35.084500565905984,8.181387133509132
PC2,8.201962759779315,-1.1414341136708436e-16,-0.3916902673896519,-6.4228491030461985,-3.445428438682157,-3.004531200097616,-1.235050517825681,0.7472397235725293,4.951348252605674,8.01838667811819,2.2533671616408975
PC3,5.277286355009809,2.9605947323337506e-16,0.05014671298630332,-3.8239555455918146,-3.637112744823273,-3.0990915025567123,-1.5049072194462627,1.0786381109331438,3.9891856885230643,5.271441137091217,2.080037408839279
PC4,4.600010631258271,-2.568226755759398e-16,-0.2864000804031419,-4.555904841775769,-3.6604413550130706,-2.2025088779341635,-1.1320636708570007,1.1762953369794225,3.0208415992326167,3.2573208388620563,1.6752075859681084
PC5,6.045286909477691,-2.425547491550543e-16,-0.2516709607048414,-2.268002470723533,-2.2288771344708893,-2.004543736732554,-1.144783863679266,0.7042419509038215,2.968698676299669,4.69631559322549,1.5648627401614137
