absolute_maximum,association,component,diagnostic,pearson,spearman
0.5861542566943936,MODERATE_ACTIVITY_ASSOCIATION,PC1,transaction_count,0.5861542566943936,0.26814000629729456
0.5871299647701632,MODERATE_ACTIVITY_ASSOCIATION,PC1,observed_cell_count,0.5871299647701632,0.49424165873343767
0.5619163704911498,MODERATE_ACTIVITY_ASSOCIATION,PC1,input_count,0.5619163704911498,0.04232703529204085
0.5797145086919333,MODERATE_ACTIVITY_ASSOCIATION,PC1,output_count,0.5797145086919333,-0.060762921728658534
0.7026757602583764,MODERATE_ACTIVITY_ASSOCIATION,PC2,transaction_count,0.24794334604773408,0.7026757602583764
0.5607352661691902,MODERATE_ACTIVITY_ASSOCIATION,PC2,observed_cell_count,0.24929318913352394,0.5607352661691902
0.7557369585460462,MODERATE_ACTIVITY_ASSOCIATION,PC2,input_count,0.34275303883317243,0.7557369585460462
0.5619018350912348,MODERATE_ACTIVITY_ASSOCIATION,PC2,output_count,0.2680495960102457,0.5619018350912348
0.0984573524852614,LOW_ACTIVITY_ASSOCIATION,PC3,transaction_count,0.0984573524852614,0.0452312987648752
0.17694009906291386,LOW_ACTIVITY_ASSOCIATION,PC3,observed_cell_count,0.09774229379647062,-0.17694009906291386
0.14652557146778014,LOW_ACTIVITY_ASSOCIATION,PC3,input_count,0.12888312359513063,0.14652557146778014
0.3604172092937734,LOW_ACTIVITY_ASSOCIATION,PC3,output_count,0.11626185541809099,0.3604172092937734
0.12590190621529423,LOW_ACTIVITY_ASSOCIATION,PC4,transaction_count,0.010006982301495868,-0.12590190621529423
0.1598108368943254,LOW_ACTIVITY_ASSOCIATION,PC4,observed_cell_count,0.007314141411574126,-0.1598108368943254
0.27922331108014753,LOW_ACTIVITY_ASSOCIATION,PC4,input_count,0.01818912963576936,0.27922331108014753
0.07442516271303613,LOW_ACTIVITY_ASSOCIATION,PC4,output_count,0.00882092850328204,-0.07442516271303613
0.38666747681972347,LOW_ACTIVITY_ASSOCIATION,PC5,transaction_count,-0.08039305617865371,-0.38666747681972347
0.07419282771473393,LOW_ACTIVITY_ASSOCIATION,PC5,observed_cell_count,-0.07419282771473393,0.0644921347655567
0.15973532582825012,LOW_ACTIVITY_ASSOCIATION,PC5,input_count,-0.07657273176151297,-0.15973532582825012
0.5343864984416065,MODERATE_ACTIVITY_ASSOCIATION,PC5,output_count,-0.0969794804109938,-0.5343864984416065
