component,cumulative_explained_variance,eigenvalue,explained_variance_ratio,families_represented,strongest_negative_loadings,strongest_positive_loadings
PC21,0.9927772392752905,0.1313012223558782,0.0014229812234934497,"[""templates"", ""temporal"", ""topology""]","[{""temporal__interarrival_median_seconds"": -0.40647666445971703}, {""temporal__interarrival_p10"": -0.3312742857118372}, {""temporal__gap_entropy"": -0.3284602160080782}]","[{""temporal__interarrival_p75"": 0.2420706289909988}, {""topology__dominant_topology_ratio"": 0.2367775815461506}, {""temporal__interarrival_kurtosis"": 0.21494069485819803}]"
PC22,0.9940792873679072,0.12014248909553693,0.001302048092616724,"[""templates"", ""temporal"", ""topology""]","[{""temporal__active_hour_concentration"": -0.3229077832506191}, {""topology__many_to_one_ratio"": -0.2542752412825123}, {""templates__consecutive_template_repeat_ratio"": -0.14447485349254294}]","[{""topology__external_input_lock_mean"": 0.4286934386739307}, {""topology__output_cell_count_mean"": 0.3535502517973429}, {""temporal__interarrival_p10"": 0.27191774717545125}]"
PC23,0.9952947462400425,0.11215273469517194,0.0012154588721353767,"[""templates"", ""temporal"", ""topology""]","[{""temporal__interarrival_kurtosis"": -0.4792280995920829}, {""temporal__interarrival_p90"": -0.3001224251855873}, {""templates__dominant_template_count"": -0.23164154355207406}]","[{""temporal__interarrival_skewness"": 0.44455785745376797}, {""temporal__interarrival_p75"": 0.26243248458089674}, {""topology__external_input_lock_mean"": 0.18949088361898042}]"
PC24,0.9961407090785079,0.07805862292789656,0.0008459628384653751,"[""templates"", ""temporal"", ""topology""]","[{""templates__dominant_template_count"": -0.5117514991742684}, {""temporal__active_day_concentration"": -0.2834997845530666}, {""temporal__interarrival_p75"": -0.20859058876391326}]","[{""templates__rare_template_ratio"": 0.44059222072010534}, {""temporal__interarrival_kurtosis"": 0.26097386325210237}, {""topology__external_input_lock_mean"": 0.19613589971661888}]"
PC25,0.9968657544118122,0.06690133148248503,0.0007250453333043584,"[""templates"", ""temporal"", ""topology""]","[{""temporal__interarrival_mean_seconds"": -0.46790115190252574}, {""templates__dominant_template_count"": -0.3224755363797834}, {""topology__external_input_lock_mean"": -0.22059865913317198}]","[{""temporal__interarrival_p90"": 0.33546491971923}, {""topology__dominant_topology_ratio"": 0.2909180638787991}, {""topology__output_cell_count_cv"": 0.2813888268397409}]"
PC26,0.997521121810916,0.0604720140883267,0.0006553673991037895,"[""templates"", ""temporal"", ""topology""]","[{""templates__rare_template_ratio"": -0.5289424348636387}, {""templates__transition_repeat_ratio"": -0.41542992343014}, {""topology__output_cell_count_mean"": -0.20138904354765053}]","[{""topology__external_input_lock_mean"": 0.4255216926044499}, {""templates__template_entropy"": 0.3012082503323258}, {""temporal__active_hour_concentration"": 0.2728569102889126}]"
PC27,0.9981408020215743,0.057179088371542654,0.0006196802106582615,"[""templates"", ""temporal"", ""topology""]","[{""templates__template_entropy"": -0.24459103489014689}, {""temporal__interarrival_skewness"": -0.16353011049101746}, {""temporal__interarrival_std_seconds"": -0.1617622745481138}]","[{""topology__dominant_topology_ratio"": 0.5301956010900681}, {""topology__topology_entropy"": 0.49432897475823745}, {""temporal__interarrival_cv"": 0.2909391179991462}]"
PC28,0.9986573235980459,0.0476604422069675,0.0005165215764716241,"[""templates"", ""temporal"", ""topology""]","[{""temporal__active_hour_concentration"": -0.40970331236605845}, {""temporal__interarrival_skewness"": -0.3845705909460338}, {""topology__topology_entropy"": -0.2343163508780746}]","[{""temporal__interarrival_cv"": 0.4820367435333536}, {""topology__output_cell_count_cv"": 0.27540171780902784}, {""templates__template_entropy"": 0.20295741878275375}]"
PC29,0.9990710950846811,0.03817949321764667,0.0004137714866351699,"[""templates"", ""temporal"", ""topology""]","[{""temporal__interarrival_median_seconds"": -0.6725418757343392}, {""temporal__interarrival_cv"": -0.299815173034117}, {""temporal__active_hour_concentration"": -0.211681953800048}]","[{""temporal__interarrival_mean_seconds"": 0.26534806281509754}, {""topology__topology_entropy"": 0.2535988896042469}, {""topology__dominant_topology_ratio"": 0.2353440107198256}]"
PC30,0.9993893796855068,0.029368734074276065,0.0003182846008256996,"[""templates"", ""temporal"", ""topology""]","[{""temporal__interarrival_mean_seconds"": -0.3416575347017267}, {""topology__output_cell_count_mean"": -0.2273055799254985}, {""temporal__interarrival_median_seconds"": -0.20395636186856372}]","[{""temporal__interarrival_p10"": 0.6078631659953518}, {""temporal__interarrival_cv"": 0.3208292197615449}, {""temporal__active_hour_concentration"": 0.2281945237696126}]"
PC31,0.9996087639335852,0.02024300775213572,0.0002193842480784177,"[""templates"", ""temporal"", ""topology""]","[{""templates__template_entropy"": -0.49427441049712434}, {""templates__dominant_template_ratio"": -0.46503901178912255}, {""topology__output_cell_count_cv"": -0.41822795625082415}]","[{""topology__output_cell_count_mean"": 0.33612944068091954}, {""temporal__interarrival_p10"": 0.23834242232988495}, {""templates__consecutive_template_repeat_ratio"": 0.1780230141763565}]"
PC32,0.9998115159280005,0.018708317623802498,0.00020275199441531115,"[""templates"", ""temporal"", ""topology""]","[{""topology__input_cell_count_mean"": -0.8178292432378675}, {""topology__one_to_many_ratio"": -0.0824699139917219}, {""temporal__interarrival_mean_seconds"": -0.07514582445031147}]","[{""topology__input_cell_count_median"": 0.35806061435382586}, {""topology__input_cell_count_cv"": 0.26754664463850614}, {""temporal__interarrival_p10"": 0.1411212074027792}]"
PC33,0.9999999999999999,0.017391788900330846,0.00018848407199938483,"[""templates"", ""temporal"", ""topology""]","[{""topology__output_cell_count_cv"": -0.5701451019270778}, {""topology__input_cell_count_median"": -0.13423790149741766}, {""temporal__active_hour_concentration"": -0.0763909710361349}]","[{""templates__template_entropy"": 0.461081045558285}, {""topology__output_cell_count_mean"": 0.44283230434146487}, {""templates__dominant_template_ratio"": 0.3324656850783346}]"
PC34,0.9999999999999999,1.5518738818836748e-15,1.6818483145305604e-17,"[""templates"", ""temporal"", ""topology""]","[{""templates__template_entropy"": -1.7396668010847908e-13}, {""topology__output_cell_count_mean"": -1.6353261376531644e-13}, {""temporal__interarrival_p10"": -1.3480779389523343e-13}]","[{""topology__many_to_many_ratio"": 0.5836288700012041}, {""topology__one_to_many_ratio"": 0.5564755139994495}, {""topology__one_to_one_ratio"": 0.4466574966519099}]"
