address,cluster_id,cluster_confidence,cluster_label
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8t3pqdfg3rnsqe8vgv93d49evdzkvpxcce0ml7v,1.0,1.0,low_out_hhi_cell+low_out_hhi
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq90ay9s9atj3rpajv38hnx5nashk3tnstqcu3khf,1.0,1.0,low_out_hhi_cell+low_out_hhi
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq92dx9xep8pwxacajpvvlcj4j7tlk9uhng4j74ms,,,Outlier_Excluded
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq94q52uky0frd8sge5jnfwnm89zclmrg35ltra3y,0.0,0.9999999999997158,high_in_counterparties_cell+high_in_counterparties
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq97nlhckh68mupdw9w33xhp4hedejskhxs9ef2y4,,,Outlier_Excluded
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq9ef4udwfyuwywlsqwy08wpapagss8ej8yxj50cr,,,Outlier_Excluded
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq9fmlyjt4ydumr7u27ltfz3vjfj2s2hgmgwc8awk,0.0,0.9999999999999716,high_in_counterparties_cell+high_in_counterparties
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq9fz7cfu5xla5nd3ay686gm2ajnzh89h8c48k7uz,1.0,1.0,low_out_hhi_cell+low_out_hhi
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq9m8eyncfhezf8s68djzwk5f9yjgwc6frqej2wsh,,,Outlier_Excluded
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqx0f0kn59zeww42ufe72s3zp843zjtm70qknllc8,,,Outlier_Excluded
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqx8ced038s4z2vxfkqu7jzdcqs7q6qhxjqxupv3g,0.0,0.9999999997123936,high_in_counterparties_cell+high_in_counterparties
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqxamnrpernhha9nsyus0k6f8a6ays6t0cusm37pn,,,Outlier_Excluded
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqxeawela8galsacxfd7d4xaymhy9jpmqeqyruqve,0.0,1.0,high_in_counterparties_cell+high_in_counterparties
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqxmkl3lngrcklwa8grdc8ja6n4s40pu4sc0w0aln,1.0,1.0,low_out_hhi_cell+low_out_hhi
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqxuz9n0wyhs86wrqr5309qaz5jsxe3805gnlmc95,0.0,1.0,high_in_counterparties_cell+high_in_counterparties
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqxvxkq3zapxvyv6qktfyhq84puycg59s2q0smpl6,1.0,1.0,low_out_hhi_cell+low_out_hhi
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqy5z928yw33t5enjqglmeq7w23dk99q7qvm3yvlr,1.0,1.0,low_out_hhi_cell+low_out_hhi
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqydhfg585sfcxu5gpaqs5sme8rn30c5yagaawuq2,1.0,1.0,low_out_hhi_cell+low_out_hhi
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqygpfd4a3nnel8tg9ntkwayy9hx537qf4yyyg3v0,,,Inactive
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqyknjsdgjmz9a475mzuledqlm82yujj4vu8xllec,,,Outlier_Excluded
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqym5d4n465eu93tdcz5sycepdkatjahp9uwdcpfy,1.0,1.0,low_out_hhi_cell+low_out_hhi
