address,max_abs_scaled_value,worst_feature,distance_z,flagged_max_abs,flagged_distance
ckb1qqunmue4ncels5qse4j6839yy68h9k27c6cyj7q6j9kxsze3a2dgsqvcg4qnx88s32fzxpeldkc9daejv92lx2yupu5ahmqkdhwlhm9qksdws8hd,71.5,unique_counterparties_in,48.396733427365604,True,True
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq92dx9xep8pwxacajpvvlcj4j7tlk9uhng4j74ms,58.0,unique_counterparties_out,36.06319442000685,True,True
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdqq677slvjxejspzxxuyrz3r8m4glpqrqve4u4k,62.0,unique_counterparties_out,34.45451351596247,True,True
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqf2pf3uu524tn9umy7g3gchaa6sgamvs4sx454l6,40.5,unique_counterparties_in,30.265016228994792,True,True
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvjpnzdqgz2pqdmn72qmm3wus9je59wheqangdzf,44.0,unique_counterparties_in,23.831764965129818,True,True
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfsajumlzs2pjvtz0xxg42llw5px435u3gxmlwuc,41.0,unique_counterparties_out,23.478350920551954,True,True
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqx0f0kn59zeww42ufe72s3zp843zjtm70qknllc8,33.0,unique_counterparties_out,22.996625460483706,True,True
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqytevmf523qgwexunz0pf59ysl6dvxvvusuft43p,32.0,unique_counterparties_out,20.842518469394648,True,True
ckb1qpw9q60tppt7l3j7r09qcp7lxnp3vcanvgha8pmvsa3jplykxn32sqgwvhnrqkx9ka45f2cnc90fy30m3scpupqggwawq,35.0,unique_counterparties_in,18.74466772282562,True,True
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0rljzn0julrpp9l3fgmm9r9r4jz8rax7sgvagwh,33.0,unique_counterparties_out,17.495270928664013,True,True
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq9m8eyncfhezf8s68djzwk5f9yjgwc6frqej2wsh,24.0,unique_counterparties_out,16.15455087463919,True,True
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0pv054z4htt9f4da6kwftf7jewrsagsxgn7hpwf,30.0,unique_counterparties_out,15.878350765036501,True,True
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfx7c8l89wcf42vxgajjke9zdt7myeqrdqj6mqm6,30.0,unique_counterparties_out,15.681720786835628,True,True
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8kwzq44p8ap4zclfc3vfgw5uxqqnegf0u7t0l86,23.0,unique_counterparties_out,14.692584393001576,True,True
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq89qeq8sz02jymcmc8nm5qsfmwyxtvqemvnunp36,18.0,unique_counterparties_out,12.916722583994598,True,True
ckb1qzfhdsa4syv599s2s3nfrctwga70g0tu07n9gpnun9ydlngf5vsnwqg9rhw8jpwu9z3f40kyqvucsjx9dxdvnjucq5wac7g9ms529x47cspnnzzgc45e4jwtnqr08mrg,18.0,unique_counterparties_out,10.180596311632506,True,True
ckb1qzfhdsa4syv599s2s3nfrctwga70g0tu07n9gpnun9ydlngf5vsnwqg939y8pph07lrs6upe8j570llehe5rgjkqqky5suyxalmuwrts8y72nelllxlxsdz2cq2yp3v8,18.0,unique_counterparties_out,9.69546844406783,True,True
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfs6c4chhw5kwthmq0jzqyxwmr9fpr5a4qr8l2yd,14.0,unique_counterparties_in,9.168294892924054,True,True
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2sfv44lf5g89ha2q296zqm8savzcyqxlsulsx6f,17.0,unique_counterparties_out,8.824473000948437,True,True
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqddyz6vl88hqfhcrfv55xpqzan04myfn7qweufsa,16.0,unique_counterparties_out,8.771168472028341,True,True
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq97nlhckh68mupdw9w33xhp4hedejskhxs9ef2y4,13.0,unique_counterparties_out,8.613399778004695,True,True
ckb1qzfhdsa4syv599s2s3nfrctwga70g0tu07n9gpnun9ydlngf5vsnwqggq7xygka0fffckdwnzn68hgm9h9r3g74xryyq0rzytwh555utxhf3farm5djmj3c502npjc8dplu,15.0,unique_counterparties_out,8.199741317917287,True,True
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqv9vxgmpvg55u2p84e8xerreq8kg4lf4ugyddftc,15.0,unique_counterparties_out,7.582001960443206,True,True
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfcls7pnlg5eausdqrj4k0jrlhm7zy3jrsjljh33,21.784110161326712,gap_cv,7.36009414591348,True,True
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq84zvv7khuuad70n45llzf9p6zahk9680sw2qed8,11.0,unique_counterparties_out,7.123348256012353,True,True
ckb1qzfhdsa4syv599s2s3nfrctwga70g0tu07n9gpnun9ydlngf5vsnwqg9v2y7zt97wcuzklqar4wxk2tzz3n5cyy3q43gncfvhemrs2mur5w4c6efvg2xwnqsjyalpclt,12.0,unique_counterparties_out,6.375283273957205,True,True
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2yr93x7eusaallmfayyemrlff66pd7v9s34kwg9,13.5,unique_counterparties_in,6.040939272228455,True,True
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtcj3ytn3vr7ux8twl2esdzhwqklqm5a9qjff8zs,12.0,unique_counterparties_out,5.97246222357449,True,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd3ele94wtw253dum78vpuuy2rcspueckqp9hktf,15.044445337463198,gap_cv,5.813277818782679,True,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqw0dr0ghl76nf5xkw6lx0lxm032kw2jwwq6lnmhx,17.34947865981317,gap_cv,5.746541607727878,True,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdfpcl42753m0xgau9yefhgfxukx83dwysy7tdl3,12.0,unique_counterparties_in,5.321085047110688,True,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtdqrvcxvvmd02h6x8l4lwqh02g5zcskgqd42txr,10.0,unique_counterparties_out,5.12634665745341,True,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0p80per28ltwd4sm2052pjt4z8unckpucj6e5pc,11.0,unique_counterparties_out,5.068929256193382,True,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgwnwze907evedj3hsygj2k9jelywm3mlsylksa9,10.0,unique_counterparties_out,5.024861435480803,True,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2wctw0r06v9ecgf0w8wv33vfkkdp5em2gaet4lw,10.0,unique_counterparties_out,4.967828557788636,True,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfylyx957e0g3kyjua0fed5gzzj4s2s9qsxafn7t,9.0,unique_counterparties_out,4.541415268720421,True,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdtejzc329up3s665cxswczse77neqxr2c6uk0jz,10.5,unique_counterparties_in,4.470846645214096,True,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq26xzankvzzjswhy449c3y76vnmm8fngrcvqcl6s,10.5,unique_counterparties_in,4.4522270923162655,True,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqw8d28w8rr2qqwrepmex52mesujgfjqskcuvwgxj,9.0,unique_counterparties_out,4.289785579362516,True,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqws78vs7l7djw5jpvttxpe6semy4fzarecvme860,9.0,unique_counterparties_out,4.100732591388187,True,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2cte26209d9uf8efuawf7zykhdxhggjjsr8msdw,12.114836937397993,cell_lifetime_cv,3.6003918849945133,True,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqwrn48zffgqgctt2netwvhcdn3pnznxceg9lhd3j,12.545944454495032,gap_cv,3.420038915895437,True,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqw6ujq2qpcu7m6rmwt276sq275wpagjkhquf7rhu,12.244250054527289,cell_lifetime_cv,3.3770549910547554,True,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd6jpr7mncc8n3y4jv4z5k8fq7l77s42kq76f87n,8.5,unique_counterparties_in,3.234519118350292,True,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqv24kjravky74cfx5ff2k56kxqnvd22qngclpjwx,12.043138369920444,cell_lifetime_cv,3.1088864360998536,True,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqguzqmcp4wprkpawalhp3hqfu9ur2q2tps9lv2ge,9.989451300371115,gap_cv,2.6173714192047437,True,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0gcpdgn07xeev0gcfc9eskt7zvmnvwyuqv3vek3,10.08305960851867,cell_lifetime_cv,2.5560465424312286,True,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq07zh8qks3jgz4rzfnnvz6l3669qm0nrugucl40c,8.473308091868645,gap_cv,2.1262867619348076,True,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqwclramlxrmcu6r5nwxg55jmhj8ycwtcfs0lxcas,9.119045595909071,cell_lifetime_cv,1.9640626350727524,True,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdhf3xqk7tf9antv2mxh6ptvwq3sqhptwgat9tmx,8.615430088651255,gap_cv,1.9119831817668498,True,False
