k,gmm_bic,gmm_aic,gmm_silhouette,gmm_min_cluster_frac,gmm_max_cluster_frac,kmeans_inertia,kmeans_silhouette
2,-41495.362012609155,-46273.8988869758,0.4859916934637821,0.3167883211678832,0.6832116788321168,43745.6404013683,0.7626690704678593
3,-44649.73893968896,-51819.80896065806,0.4159556802478599,0.1386861313868613,0.6788321167883211,32046.926769409074,0.654816079554788
4,-55699.669362237364,-65261.27252980892,0.06566128323108848,0.12408759124087591,0.4759124087591241,24909.837337775443,0.5240786614772628
5,-49765.47812801087,-61718.61444218489,0.05864913131437826,0.026277372262773723,0.48175182481751827,19310.3628274548,0.5262496019732243
6,-47433.695726699225,-61778.36518747569,0.05477264275630491,0.013138686131386862,0.4656934306569343,16721.553524782863,0.5212137964822782
7,-46673.64855886925,-63409.851166248176,0.05678705985146094,0.013138686131386862,0.4759124087591241,15056.166300429186,0.2466495105988536
8,-46932.265593176315,-66060.0013471577,0.029665842266848066,0.026277372262773723,0.3372262773722628,13770.059732954713,0.24468023639701422
