ami,ari,cluster_count,noise_ratio,resample
0.17144854426389558,-0.02065803706097518,2,0.805,0
0.0,0.0,0,1.0,1
0.0,0.0,0,1.0,2
0.0,0.0,0,1.0,3
0.21353849062999183,0.01634633364348266,2,0.76,4
0.2139789958021039,0.018771275046712027,2,0.765,5
0.0,0.0,0,1.0,6
0.13793210600004924,-0.03696083593575968,2,0.84,7
0.16827699302417465,-0.0038015115136716213,2,0.82,8
0.15276471578731282,-0.03387815376353196,2,0.825,9
0.0,0.0,0,1.0,10
0.19270951505800377,0.004962427837768563,2,0.785,11
0.0,0.0,0,1.0,12
0.20214353286900769,0.01293103128663477,2,0.775,13
0.17959370202617211,-0.012126101235394414,2,0.795,14
0.17353134304072854,-0.012415173277475664,2,0.805,15
0.18103859356318566,0.0007094023893928525,2,0.805,16
0.0,0.0,0,1.0,17
0.1796972672587047,-0.03848684883154705,2,0.775,18
0.14611273021512938,-0.03988711890518524,2,0.83,19
0.15601158095915146,-0.03630478365237043,2,0.815,20
0.7766059744563638,0.788056780737823,2,0.435,21
0.8586780728738234,0.8906364852580616,2,0.395,22
0.19289166390330859,-0.004416700472673808,2,0.775,23
0.16525996183861572,-0.03806660223187624,2,0.8,24
0.16168111271046617,-0.015025677480002272,2,0.82,25
0.7532204176068229,0.7721898649341129,2,0.415,26
0.15004839205496023,-0.025274466750313675,2,0.83,27
0.7449090712060215,0.8127628273545328,2,0.405,28
0.14838980913506822,-0.024997247596112517,2,0.835,29
0.0,0.0,0,1.0,30
0.0,0.0,0,1.0,31
0.0,0.0,0,1.0,32
0.0,0.0,0,1.0,33
0.0,0.0,0,1.0,34
0.16973250613470287,-0.03411400250166609,2,0.795,35
0.0,0.0,0,1.0,36
0.14407242217295316,-0.03870892215586117,2,0.83,37
0.17811094172506572,-0.005255150428706705,2,0.805,38
0.7575915823812293,0.8207839467423912,2,0.4,39
0.17315662662847525,0.014774221921042404,2,0.825,40
0.1879218887984481,-0.009968922048915663,2,0.78,41
0.15836976194261065,-0.03631503059980321,2,0.81,42
0.1791783769447043,-0.016618067388248482,2,0.79,43
0.7924171729642294,0.8091807893494245,2,0.455,44
0.0,0.0,0,1.0,45
0.19297498085145795,0.013708707093386317,2,0.79,46
0.1619745163516956,-0.0327368411130624,2,0.81,47
0.1530742018543505,-0.04675584268802539,2,0.81,48
0.15076949793276698,-0.020324763799866814,2,0.835,49
0.18278409825792283,0.0020223703218059334,2,0.805,50
0.20408935717329604,0.03851612492287137,2,0.79,51
0.1801628739099558,-0.01564588124042931,2,0.795,52
0.0,0.0,0,1.0,53
0.12958453740271583,-0.049113830734715404,2,0.845,54
0.0,0.0,0,1.0,55
0.1843728535844633,-0.004704340069059062,2,0.795,56
0.7886120786982986,0.8605932537391604,2,0.4,57
0.17294228465514602,-0.0239524431071193,2,0.8,58
0.1745229632928125,0.00029533011652072114,2,0.815,59
0.0,0.0,0,1.0,60
0.0,0.0,0,1.0,61
0.1608990848606978,-0.02710248902714436,2,0.815,62
0.1640789443362456,-0.02457249394331007,2,0.81,63
0.18151979343001706,-0.006841910328698724,2,0.8,64
0.0,0.0,0,1.0,65
0.7890590763323634,0.8044143913123892,2,0.44,66
0.16656598419780766,-0.019903969591961806,2,0.81,67
0.21212913753478374,0.017523277747030924,2,0.765,68
0.16147720962415582,-0.03444365812146641,2,0.81,69
0.0,0.0,0,1.0,70
0.0,0.0,0,1.0,71
0.1562251414104569,-0.025145334374602885,2,0.825,72
0.0,0.0,0,1.0,73
0.22144048355165194,0.04109736885603351,2,0.765,74
0.1659864112182644,-0.03495539686141472,2,0.8,75
0.0,0.0,0,1.0,76
0.1609648977169946,-0.011928177986137574,2,0.825,77
0.15694303487024464,-0.018247537350618088,2,0.825,78
0.0,0.0,0,1.0,79
0.7568660792686143,0.8013900132099647,2,0.46,80
0.1435906208008144,-0.034469774227553464,2,0.835,81
0.0,0.0,0,1.0,82
0.14814724918458352,-0.051935271217229746,2,0.815,83
0.15486295856621654,-0.036085902738214624,2,0.82,84
0.0,0.0,0,1.0,85
0.18274466021344105,-0.0020055384399668224,2,0.8,86
0.16056797363562483,-0.04210110266100335,2,0.805,87
0.0,0.0,0,1.0,88
0.18592458355365488,-0.007380135080331412,2,0.79,89
0.0,0.0,0,1.0,90
0.162539667754317,0.0017506475538549386,2,0.835,91
0.15084152933053824,-0.020112404225554936,2,0.835,92
0.0,0.0,0,1.0,93
0.15149325531460428,-0.023987102681643665,2,0.83,94
0.1564214721810322,-0.0303568406625478,2,0.815,95
0.19877370409228942,0.022494082034793708,2,0.795,96
0.17134058140666425,-0.002269311394960021,2,0.815,97
0.1824818161935692,0.01497030463611322,2,0.815,98
0.17147629811463874,-0.0012212312276321143,2,0.82,99
