ami,ari,cluster_count,noise_ratio,resample
0.605078660845206,0.33703454176347697,3,0.12165450121654502,0
0.642282526745858,0.35613121193477876,3,0.09732360097323602,1
0.6081211503519652,0.3458110685379477,3,0.12408759124087591,2
0.6339769426197888,0.36603876777904976,3,0.09732360097323602,3
0.5860763762061785,0.31782986972221683,3,0.12408759124087591,4
0.6330137243790517,0.3574675637203273,3,0.09975669099756691,5
0.7264126356597882,0.5194854814495299,4,0.2725060827250608,6
0.6167676317779085,0.34368268637943833,3,0.1070559610705596,7
0.6480187285852512,0.37430743954503387,3,0.08029197080291971,8
0.6027255576946078,0.3365322735625346,3,0.10218978102189781,9
0.6490946940926072,0.35602176582131634,3,0.09975669099756691,10
0.6601251052572243,0.36819755489201544,3,0.09975669099756691,11
0.6073016538439597,0.33989868201046264,3,0.10948905109489052,12
0.6559212246722359,0.38066211944266953,3,0.09975669099756691,13
0.6566491750394339,0.3756748928283125,3,0.0851581508515815,14
0.6077141240533237,0.3321311358564297,3,0.11435523114355231,15
0.6608208953729882,0.36361916699744906,3,0.12652068126520682,16
0.6019093951588773,0.34537991800373335,3,0.1070559610705596,17
0.6641941965264093,0.38785209403049004,3,0.08759124087591241,18
0.6172246707159919,0.352447121966254,3,0.1070559610705596,19
0.6190400901495648,0.34717057360549736,3,0.11192214111922141,20
0.9195748471374138,0.8920935591503313,5,0.43309002433090027,21
0.6427327547908784,0.3687853574192228,3,0.09732360097323602,22
0.5960850348044758,0.32338050718675826,3,0.1070559610705596,23
0.6441641923403253,0.355761087530222,3,0.09732360097323602,24
0.661987609293796,0.4015353331557078,3,0.08759124087591241,25
0.6635853395766708,0.3902919011367133,3,0.08759124087591241,26
0.5976106388764236,0.3304592605016396,3,0.1192214111922141,27
0.6570214765308184,0.3714771411622738,3,0.09975669099756691,28
0.6401322736460511,0.34292739805035516,3,0.09732360097323602,29
0.655100211569178,0.3730969156349005,3,0.0851581508515815,30
0.6544482143987798,0.37965312430627596,3,0.10462287104622871,31
0.6281263209521384,0.3564317496001383,3,0.10218978102189781,32
0.6555112340704325,0.3777366840405561,3,0.08759124087591241,33
0.6607609545076802,0.3802475975301602,3,0.0827250608272506,34
0.6575029983576721,0.3783088998880206,3,0.09002433090024331,35
0.6300476122227296,0.35592645751946883,3,0.1192214111922141,36
0.6225106462891135,0.35259988275723936,3,0.10462287104622871,37
0.6494840685576756,0.35880471011803133,3,0.09245742092457421,38
0.6050350341666831,0.3406170854327761,3,0.12408759124087591,39
0.6501578031290024,0.37140587896478133,3,0.0827250608272506,40
0.6525635457302974,0.356076710831306,3,0.11192214111922141,41
0.6341508689464772,0.35736775753764594,3,0.10462287104622871,42
0.6637694623805139,0.3838337974610178,3,0.10948905109489052,43
0.5924973695709242,0.32144166508079475,3,0.11435523114355231,44
0.6574424311724475,0.37446175307557095,3,0.0851581508515815,45
0.6639119157019339,0.38790314440426055,3,0.0948905109489051,46
0.7284449448148196,0.5045123885730681,4,0.24574209245742093,47
0.6584510316248312,0.3981514189732598,3,0.08759124087591241,48
0.6683179334083736,0.3958195022530723,3,0.0948905109489051,49
0.6226178356677113,0.35098093306582495,3,0.10948905109489052,50
0.6532317588663954,0.38634366364653455,3,0.0851581508515815,51
0.6415251042562888,0.37098443314299123,3,0.0827250608272506,52
0.6599488018091124,0.38172285988713145,3,0.09245742092457421,53
0.6445943406923402,0.35561302544243445,3,0.09002433090024331,54
0.624664912530425,0.35808052265642476,3,0.11435523114355231,55
0.655230060580458,0.375223261722265,3,0.09732360097323602,56
0.6470485674300036,0.35230722371713297,3,0.09002433090024331,57
0.6045541880533704,0.32956801510471256,3,0.12165450121654502,58
0.6284186134687186,0.3631722706129309,3,0.10218978102189781,59
0.6620444440324571,0.3843651696878511,3,0.0948905109489051,60
0.6600125404996018,0.36956242214127955,3,0.10462287104622871,61
0.6464841567682925,0.3509601947470735,3,0.09732360097323602,62
0.6553197977215893,0.3659503080830078,3,0.09732360097323602,63
0.6643584038975746,0.3877112501061644,3,0.0948905109489051,64
0.6683992802064317,0.3928883998784605,3,0.09732360097323602,65
0.5896165680971571,0.32033729524915316,3,0.11435523114355231,66
0.6625975038477077,0.3841196151858591,3,0.08759124087591241,67
0.6543694618856647,0.3842525900518538,3,0.09002433090024331,68
0.5928964250744889,0.32137639349890335,3,0.12408759124087591,69
0.6258178292132838,0.34871952295614883,3,0.09975669099756691,70
0.6377965097551659,0.3700067417829142,3,0.09732360097323602,71
0.6576616605689435,0.37444310730042935,3,0.09002433090024331,72
0.6194937579153993,0.33751639506995496,3,0.12165450121654502,73
0.6313383245226938,0.35969890967330603,3,0.08759124087591241,74
0.6452386820709585,0.370153050121811,3,0.0851581508515815,75
0.6562578967151211,0.37361518772334246,3,0.0948905109489051,76
0.6592325974607095,0.3816616977842001,3,0.08029197080291971,77
0.6335119354608467,0.3673171515849842,3,0.08029197080291971,78
0.6586083784939194,0.376671402226138,3,0.09975669099756691,79
0.641960923295574,0.3558047851449858,3,0.09002433090024331,80
0.6242562487730929,0.3645633643199575,3,0.1070559610705596,81
0.6316730401181054,0.36051960375583064,3,0.09975669099756691,82
