ami,ari,cluster_count,noise_ratio,resample
0.6434983475475731,0.6498554864168156,2,0.685,0
0.6699617293306949,0.6686736010793501,2,0.685,1
0.7597375622040987,0.7687626969838107,2,0.65,2
0.736079953060268,0.7396934399115079,2,0.64,3
0.7132873585212979,0.744439162600831,2,0.66,4
0.7256424691923025,0.7236752867330927,2,0.64,5
0.6443223639278713,0.6473993405909484,2,0.675,6
0.6894178961788067,0.7060021259868674,2,0.665,7
0.6734207140458388,0.6895584677579902,2,0.645,8
0.6486642960405068,0.6608504720300005,2,0.705,9
0.7679975963705036,0.7807336261354749,2,0.645,10
0.702720578023974,0.7446113826983124,2,0.665,11
0.7064470541880603,0.7209291735121319,2,0.665,12
0.7032153396558037,0.7323029877057566,2,0.65,13
0.6663272101154372,0.6989907519562828,2,0.67,14
0.6616047242313455,0.6888333763198616,2,0.67,15
0.7047242395637064,0.7225191027293935,2,0.675,16
0.0,0.0,0,1.0,17
0.7751562438735999,0.7905208838003257,2,0.595,18
0.7011289289958446,0.7210516975951883,2,0.655,19
0.7610929873414465,0.7656866407566049,2,0.63,20
0.6942556858372891,0.6873682407141095,2,0.66,21
0.6416906895948243,0.6588536679752279,2,0.685,22
0.6917904083908044,0.7157772643767341,2,0.635,23
0.679425066933876,0.690614505988828,2,0.675,24
0.7288387214090724,0.7682765784392827,2,0.64,25
0.7619170680324363,0.8105084708743896,2,0.62,26
0.7389576933995079,0.7655790489548059,2,0.645,27
0.6802841796638002,0.6803255978457193,2,0.655,28
0.7759658468190788,0.8125831005912998,2,0.615,29
0.0,0.0,0,1.0,30
0.731662927859795,0.7518444860856268,2,0.625,31
0.7502673739277881,0.7761911642528371,2,0.625,32
0.7549662882708332,0.7836797664611925,2,0.625,33
0.7281288666674284,0.7371558232061678,2,0.62,34
0.7469328151290179,0.7847790166267564,2,0.59,35
0.6693839858206,0.6574178189420413,2,0.71,36
0.6624241541244579,0.6790623830125915,2,0.68,37
0.7425744773956232,0.7411349993069362,2,0.65,38
0.7133910818255046,0.6991804458400112,2,0.635,39
0.7629321184109774,0.755627163791007,2,0.645,40
0.7761780566219506,0.7857486119578633,2,0.625,41
0.6854054197013609,0.7167492201362323,2,0.65,42
0.7032511178622596,0.7077206898088321,2,0.645,43
0.7436969503711734,0.7723952767336318,2,0.625,44
0.7431132409637681,0.7517259002398098,2,0.635,45
0.830401058829499,0.8302433297645766,2,0.635,46
0.6703415181398155,0.678823691809054,2,0.675,47
0.6982385292336147,0.7085403827780888,2,0.655,48
0.7085628813162089,0.7209230560984592,2,0.675,49
0.6739842630623738,0.6815239708303966,2,0.67,50
0.7498255902262901,0.8059102028131301,2,0.595,51
0.7341788986244603,0.7388334032089009,2,0.645,52
0.7404823119852425,0.7890607748588888,2,0.635,53
0.7733551646593091,0.7384740216027057,2,0.64,54
0.8061693717167827,0.8012077962029063,2,0.665,55
0.7582559211963652,0.7784093462415963,2,0.64,56
0.5897552976283854,0.5938604513033391,2,0.705,57
0.6114299929255219,0.6299582662435462,2,0.69,58
0.6839421454058451,0.7144062356888355,2,0.655,59
0.7606934137996009,0.8015583954873607,2,0.65,60
0.7008004816272718,0.7273774220915173,2,0.65,61
0.6957721225431601,0.7079114558089424,2,0.65,62
0.6580523182545566,0.6415313876528764,2,0.69,63
0.76383894375304,0.7675131399459632,2,0.625,64
0.7030702837352989,0.7158980356028586,2,0.66,65
0.7015226013726733,0.8001833646235942,2,0.585,66
0.6502902564053471,0.7267897099793005,2,0.585,67
0.731160429627078,0.7368867225281314,2,0.65,68
0.0,0.0,0,1.0,69
0.6833592991554184,0.7155434772516852,2,0.68,70
0.6425287620991625,0.6324289905126452,2,0.71,71
0.6602414447601886,0.6548267606353363,2,0.675,72
0.6584348146901676,0.7572879450333146,2,0.615,73
0.713916953681257,0.7466260281545356,2,0.665,74
0.8154482700874739,0.8005348641914112,2,0.605,75
0.6608983471024257,0.6846337637352832,2,0.67,76
0.7150937541952872,0.7133036544762043,2,0.66,77
0.7640596859890414,0.7716005601236747,2,0.64,78
0.7404979359611893,0.7513364419986723,2,0.645,79
0.6879505565276337,0.672428541572621,2,0.675,80
0.7302194407199065,0.7370878049203305,2,0.63,81
0.6931675295021975,0.6972808916765626,2,0.665,82
0.682712848111164,0.7420305853115436,2,0.565,83
0.781344202253776,0.7814251087208687,2,0.63,84
0.6755172807108104,0.7136308856767718,2,0.66,85
0.7012534304677787,0.7316034508600373,2,0.655,86
0.6728940219957282,0.667390004103655,2,0.67,87
0.680935698625115,0.702737113899915,2,0.67,88
0.6844153206681054,0.776285003344897,2,0.575,89
0.668446169378484,0.6783034564717212,2,0.68,90
0.5795643996445937,0.6873215399685793,2,0.67,91
0.7307860555988145,0.7572773714298564,2,0.625,92
0.7136342550266938,0.7343298819982629,2,0.67,93
0.7319555545453974,0.7727194566341777,2,0.64,94
0.7216688599184733,0.758229286954875,2,0.575,95
0.6531228639417427,0.7432586785195152,2,0.615,96
0.6932437637966262,0.696004936841116,2,0.66,97
0.7621841981231843,0.7559765362800756,2,0.65,98
0.6636790880871042,0.6799532650892626,2,0.7,99
