ami,ari,cluster_count,noise_ratio,resample
0.0,0.0,0,1.0,0
0.7535467680391981,0.8067007738676893,2,0.391304347826087,1
0.7774380246239689,0.8274540601763085,2,0.427536231884058,2
0.7250157543518821,0.7991116587539496,2,0.391304347826087,3
0.0,0.0,0,1.0,4
0.0,0.0,0,1.0,5
0.3039251565457538,0.12953627787250924,2,0.6884057971014492,6
0.7648450401438914,0.7709993161549221,2,0.45652173913043476,7
0.0,0.0,0,1.0,8
0.0,0.0,0,1.0,9
0.2350809049325892,0.04162633195120092,2,0.7608695652173914,10
0.0,0.0,0,1.0,11
0.736905330350814,0.8017003815643324,2,0.42028985507246375,12
0.0,0.0,0,1.0,13
0.8188743661531899,0.8640544960346619,2,0.4057971014492754,14
0.7812291491395815,0.8284681420571595,2,0.41304347826086957,15
0.8112659430031846,0.8420048630046967,2,0.427536231884058,16
0.0,0.0,0,1.0,17
0.7616813862318337,0.8118520466511325,2,0.43478260869565216,18
0.0,0.0,0,1.0,19
0.0,0.0,0,1.0,20
0.8756905547976354,0.9075297173404809,2,0.391304347826087,21
0.8783916323160069,0.9198784517264744,2,0.36231884057971014,22
0.8276158998362481,0.8669041512218382,2,0.42028985507246375,23
0.8421298934510257,0.8900968356754838,2,0.43478260869565216,24
0.8540941442314525,0.8797535658636654,2,0.43478260869565216,25
0.0,0.0,0,1.0,26
0.7148431979339023,0.7858867238945325,2,0.42028985507246375,27
0.8895955541433295,0.8970306208044632,2,0.427536231884058,28
0.7134503464199469,0.7791703069795378,2,0.35507246376811596,29
0.6672922072198906,0.7516810870147559,2,0.43478260869565216,30
0.7275331749068342,0.7705758114893375,2,0.427536231884058,31
0.0,0.0,0,1.0,32
0.6463648152389456,0.7222574483318273,2,0.3695652173913043,33
0.7986772354256819,0.8398682372675955,2,0.4492753623188406,34
0.0,0.0,0,1.0,35
0.7177331867592384,0.76137616198701,2,0.47101449275362317,36
0.9049642187066953,0.9437883832279971,2,0.391304347826087,37
0.7953249793538177,0.8551083884617207,2,0.39855072463768115,38
0.0,0.0,0,1.0,39
0.7354181480698019,0.8142928956711493,2,0.36231884057971014,40
0.6690282007456443,0.7803477459911674,2,0.427536231884058,41
0.8142250349435033,0.8549201751455582,2,0.4420289855072464,42
0.6927158042836558,0.772316130307799,2,0.41304347826086957,43
0.741233451427211,0.7761474792115766,2,0.463768115942029,44
0.0,0.0,0,1.0,45
0.28251625441254924,0.10622949311581982,2,0.717391304347826,46
0.8384807511615835,0.9003959557604438,2,0.37681159420289856,47
0.8516100577485095,0.8825762646772842,2,0.38405797101449274,48
0.7970128213551305,0.8197217140914028,2,0.41304347826086957,49
0.7612583281569034,0.8028967039388837,2,0.43478260869565216,50
0.0,0.0,0,1.0,51
0.7382967883028281,0.7706904206862861,2,0.43478260869565216,52
0.0,0.0,0,1.0,53
0.33603824786499226,0.16871021970697905,2,0.6666666666666666,54
0.840512378905801,0.8929963831064774,2,0.39855072463768115,55
0.7610904362083828,0.8287363225570599,2,0.37681159420289856,56
0.0,0.0,0,1.0,57
0.8424722567195205,0.8888224709141853,2,0.4057971014492754,58
0.6828904200334156,0.7722712111765643,2,0.463768115942029,59
0.0,0.0,0,1.0,60
0.6388998420612816,0.7502252601244362,2,0.427536231884058,61
0.7030860882050806,0.751882651623262,2,0.47101449275362317,62
0.7434914713230983,0.8137337355117416,2,0.3695652173913043,63
0.7435443925066743,0.7725697825061709,2,0.42028985507246375,64
0.29537123346023664,0.11708334189891852,2,0.7101449275362319,65
0.8348306463271605,0.8563987778722663,2,0.43478260869565216,66
0.6837574684537926,0.7819640878754454,2,0.391304347826087,67
0.0,0.0,0,1.0,68
0.0,0.0,0,1.0,69
0.0,0.0,0,1.0,70
0.8268520683575727,0.8460102774819891,2,0.4420289855072464,71
0.7843398997125719,0.8403164478598119,2,0.43478260869565216,72
0.7391520226026393,0.7769265119912855,2,0.463768115942029,73
0.7226263898153057,0.7937562975862441,2,0.39855072463768115,74
0.7355325955450952,0.8148463481109194,2,0.41304347826086957,75
0.8415464254259889,0.8945310997612709,2,0.37681159420289856,76
0.8668785247769778,0.871469711376782,2,0.42028985507246375,77
0.0,0.0,0,1.0,78
0.8157804208579972,0.8569789721023793,2,0.3695652173913043,79
0.743125918129188,0.8135890103351177,2,0.3695652173913043,80
0.0,0.0,0,1.0,81
0.8164651755325678,0.8312137208912,2,0.4492753623188406,82
0.0,0.0,0,1.0,83
0.7250157543518821,0.7991116587539496,2,0.391304347826087,84
0.0,0.0,0,1.0,85
0.7247278711389805,0.8002251523734907,2,0.4057971014492754,86
0.8747875787662736,0.9041666131870204,2,0.39855072463768115,87
0.0,0.0,0,1.0,88
0.8323869138844684,0.8655315153842871,2,0.43478260869565216,89
0.7176652633629407,0.7997387825232013,2,0.3695652173913043,90
0.7602279302943055,0.772469091573141,2,0.427536231884058,91
0.7465775928114138,0.810196907651379,2,0.42028985507246375,92
0.0,0.0,0,1.0,93
0.781221108065844,0.82765116838222,2,0.42028985507246375,94
0.8188150912369297,0.8761578900422571,2,0.427536231884058,95
0.0,0.0,0,1.0,96
0.8175589432831418,0.8765784566105317,2,0.427536231884058,97
0.8318384463581788,0.8227944028603593,2,0.45652173913043476,98
0.8168778577026664,0.8751772539009758,2,0.427536231884058,99
