address,is_inactive,interarrival_mean_s,interarrival_median_s,interarrival_std_s,interarrival_cv,burstiness,active_hour_entropy,active_weekday_entropy,dominant_period_hours,periodicity_strength,interval_repeat_ratio,mean_input_cells,mean_output_cells,max_input_cells,max_output_cells,input_output_cell_ratio,single_to_single_ratio,fanout_tx_ratio,fanin_tx_ratio,many_to_many_ratio,topology_entropy,topology_repetition,capacity_in_total,capacity_out_total,net_capacity_delta,capacity_turnover,median_input_capacity,median_output_capacity,capacity_cv,repeated_capacity_ratio,capacity_fragmentation,capacity_consolidation,cell_lifetime_mean_s,cell_lifetime_median_s,cell_lifetime_cv,short_lived_cell_ratio,long_lived_cell_ratio,same_block_spend_ratio,lifecycle_resolved_ratio,uses_since_ratio,relative_since_ratio,absolute_since_ratio,since_block_ratio,since_epoch_ratio,since_timestamp_ratio,repeated_since_value_ratio,type_script_diversity,dao_capacity_share,udt_capacity_share,nft_state_share,dao_interaction_count,fanin_source_count,fanout_dest_count,fanin_source_entropy,fanout_dest_entropy,round_trip_partner_ratio,source_concentration,dest_concentration,cellbase_reward_ratio,is_known_miner_address,window_days,transactions_observed,pull_status,hit_max_cap,evidence_state,periodicity_evidence,label,label_confidence,reason_codes
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqg6agcch2m7k8lsh00nv05ztfmz0euvqkcfpz7ec,0.0,45777.73343636339,753.7799999713898,46611.87509884472,1.018221558820532,0.009028522533066595,3.7116719499809747,2.7602688395040085,25.0,0.18336431727356775,0.05454545454545454,5.25,1.5,10,2,3.5,0.5,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,442.5025,408.1195,0.3550756495166151,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,2,0.0,1.0,0.5,1.0,0.5,0.0,0.0,30,56,complete,False,OK,True,NORMAL_HUMAN,0.8166356827264323,NO_STRONG_AUTOMATION_OR_STRUCTURAL_SIGNAL;SUFFICIENT_EVIDENCE
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqthl80tuq23uvh5fxm6auu4va9dw76gclqtu8vax,0.0,42474.30627118935,680.75,42712.14631661013,1.0055996216607335,0.002791993775954513,0.0,2.799581230646065,24.0,0.8942652329652941,0.05084745762711865,5.5,5.5,10,10,1.0,0.5,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,28,0.0,4.029004910516654,0.0,1.0,0.09090909090909091,0.0,0.0,30,60,complete,False,OK,True,NORMAL_HUMAN,0.4,NO_STRONG_AUTOMATION_OR_STRUCTURAL_SIGNAL;SUFFICIENT_EVIDENCE
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdsczh9v0wp9w3p7th99t7kdf5sscfsd5g5w0zah,0.0,61121.56268293101,637.1690001487732,133712.46785265574,2.187648057139689,0.37257816291218115,0.0,2.7606668272315984,24.0,0.89329254474199,0.04878048780487805,5.5,5.5,10,10,1.0,0.5,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,27,0.0,4.043864851646318,0.0,1.0,0.09090909090909091,0.0,0.0,30,42,complete,False,OK,True,NORMAL_HUMAN,0.4,NO_STRONG_AUTOMATION_OR_STRUCTURAL_SIGNAL;SUFFICIENT_EVIDENCE
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfrmvt598cnr70mhtyt9afjg9yju7s0n6gw0e8d4,0.0,42447.82896610034,741.1849999427795,42774.279006046265,1.0076906180574428,0.0038305792676780904,1.642221364830993,2.799581230646065,48.0,0.3997050147457254,0.06779661016949153,1.3833333333333333,5.5,2,10,0.2515151515151515,0.5,0.0,0.0,0.0,1.3918884737423507,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,587.591,587.591,0.16490211728906667,1.0,0.0,0.0,0.06666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,20,0.0,3.8005808300930406,0.0,1.0,0.09146341463414634,0.0,0.0,30,60,complete,False,OK,True,NORMAL_HUMAN,0.6002949852542746,NO_STRONG_AUTOMATION_OR_STRUCTURAL_SIGNAL;SUFFICIENT_EVIDENCE
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqg0ca6lakxrzckjvwvunpff9xagkdh7ljc6mwakl,0.0,115445.92033338547,1540.9639999866486,161674.67379784342,1.4004364409843004,0.16681818112213845,0.0,1.0,0.0,0.0,0.3333333333333333,5.5,5.5,10,10,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,13,13,3.621928094887362,3.6412498004554794,0.23809523809523808,0.1,0.09090909090909091,0.0,0.0,30,4,complete,False,INSUFFICIENT_EVIDENCE,False,INSUFFICIENT_EVIDENCE,1.0,ONLY_4_TX_OBSERVED
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgzw9vj0prshmp4pm5jr0t8m4vwf353syqvqfm08,0.0,42503.43898305247,3956.151999950409,41274.55081135909,0.9710873237296546,-0.01466838933124353,1.9473003963031128,2.799581230646065,72.0,0.5123456790060203,0.01694915254237288,4.733333333333333,5.5,10,10,0.8606060606060606,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2045.7153333333333,2170.186,0.4695237714378304,1.0,0.0,0.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,25,47,4.003714450450401,5.2134141382404895,0.07462686567164178,0.12096774193548387,0.09433962264150944,0.0,0.0,30,60,complete,False,OK,True,NORMAL_HUMAN,0.48765432099397965,NO_STRONG_AUTOMATION_OR_STRUCTURAL_SIGNAL;SUFFICIENT_EVIDENCE
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0z6h6nlju0mcdp0ny0sx77tmu6j2700lqkdeakp,0.0,80861.72858065175,293.28700017929077,84633.26394226695,1.0466417850300276,0.0227894228346087,0.5435644431995964,2.686278124459133,48.0,0.6382000489011798,0.0967741935483871,2.46875,2.5,4,3,0.9875,0.0,0.0,0.0,0.5,1.168645033308507,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,498275.2548076923,518164.4105,0.07434876767502702,0.0,0.0,0.0,0.8125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,17,17,3.0,2.2516291673878226,1.0,0.5,0.6666666666666666,0.0,0.0,30,32,complete,False,OK,True,NORMAL_HUMAN,0.4,NO_STRONG_AUTOMATION_OR_STRUCTURAL_SIGNAL;SUFFICIENT_EVIDENCE
ckb1qzfhdsa4syv599s2s3nfrctwga70g0tu07n9gpnun9ydlngf5vsnwqg9zrmsxs6xv90lz4x2s44468mm4xdkjhy8q5g0wq6rges4lu25e2zkkhgl0w5ek62usuunkg2x,0.0,268784.01385712624,116287.45899987221,343809.44384685106,1.279129063194975,0.12247181070284831,2.1556390622295662,1.5487949406953985,346.0,0.1952416541905645,0.14285714285714285,1.0,1.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,8,complete,False,OK,True,NORMAL_HUMAN,0.8047583458094355,NO_STRONG_AUTOMATION_OR_STRUCTURAL_SIGNAL;SUFFICIENT_EVIDENCE
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqwdqtm7fe8f0r3l4vflgcllp949spattvcdqtpd0,0.0,196404.80654545265,618.0810000896454,308046.43098263716,1.568426131726812,0.22131301527626418,0.0,2.2516291673878226,48.0,0.3285714285576231,0.18181818181818182,5.5,5.5,10,10,1.0,0.5,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,20,0.0,3.969652407132867,0.0,1.0,0.09090909090909091,0.0,0.0,30,12,complete,False,OK,True,NORMAL_HUMAN,0.6714285714423769,NO_STRONG_AUTOMATION_OR_STRUCTURAL_SIGNAL;SUFFICIENT_EVIDENCE
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqwx5d4t4cwytglh7fx5pu96lx79d69ur3q25xsmm,0.0,42498.6429491528,2720.593999862671,41805.784286339374,0.9836969226607448,-0.008218532353918126,0.420026001688088,2.802258412694598,24.0,0.8405017921056575,0.03389830508474576,7.133333333333334,5.5,10,10,1.296969696969697,0.016666666666666666,0.0,0.0,0.5,1.701495385937679,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,8,28,2.638508492942396,4.029004910516654,0.0,0.2564102564102564,0.09090909090909091,0.0,0.0,30,60,complete,False,OK,True,NORMAL_HUMAN,0.4,NO_STRONG_AUTOMATION_OR_STRUCTURAL_SIGNAL;SUFFICIENT_EVIDENCE
