absolute_maximum,association,component,diagnostic,pearson,spearman
0.266188399333007,LOW_ACTIVITY_ASSOCIATION,PC1,transaction_count,-0.007620220898089529,-0.266188399333007
0.008317895057273924,LOW_ACTIVITY_ASSOCIATION,PC1,observed_cell_count,-0.003008976176756669,0.008317895057273924
0.21693459959632064,LOW_ACTIVITY_ASSOCIATION,PC1,input_count,-0.013896118523106966,-0.21693459959632064
0.2216600591125493,LOW_ACTIVITY_ASSOCIATION,PC1,output_count,-0.013496390818581628,-0.2216600591125493
0.7052684960372936,MODERATE_ACTIVITY_ASSOCIATION,PC2,transaction_count,-0.09131803311716186,-0.7052684960372936
0.6364198341743778,MODERATE_ACTIVITY_ASSOCIATION,PC2,observed_cell_count,-0.09151062377362112,-0.6364198341743778
0.7129214174635006,MODERATE_ACTIVITY_ASSOCIATION,PC2,input_count,-0.1406171742801553,-0.7129214174635006
0.7698296263090812,MODERATE_ACTIVITY_ASSOCIATION,PC2,output_count,-0.10867518712598286,-0.7698296263090812
0.560955655329879,MODERATE_ACTIVITY_ASSOCIATION,PC3,transaction_count,0.21287320924555322,0.560955655329879
0.5448628250713932,MODERATE_ACTIVITY_ASSOCIATION,PC3,observed_cell_count,0.21339295963831287,0.5448628250713932
0.5045480549128515,MODERATE_ACTIVITY_ASSOCIATION,PC3,input_count,0.28892380648345867,0.5045480549128515
0.615131784598645,MODERATE_ACTIVITY_ASSOCIATION,PC3,output_count,0.2352585134772415,0.615131784598645
0.433274868923912,LOW_ACTIVITY_ASSOCIATION,PC4,transaction_count,-0.01556139856245535,-0.433274868923912
0.5929794473371837,MODERATE_ACTIVITY_ASSOCIATION,PC4,observed_cell_count,-0.019810568965487507,-0.5929794473371837
0.3112249673229153,LOW_ACTIVITY_ASSOCIATION,PC4,input_count,-0.05306916174490387,-0.3112249673229153
0.3279495177258859,LOW_ACTIVITY_ASSOCIATION,PC4,output_count,-0.021186189415061507,-0.3279495177258859
0.13373030817913245,LOW_ACTIVITY_ASSOCIATION,PC5,transaction_count,-0.01839805581368099,-0.13373030817913245
0.2735102261833887,LOW_ACTIVITY_ASSOCIATION,PC5,observed_cell_count,-0.021415074115555204,-0.2735102261833887
0.1256351806433619,LOW_ACTIVITY_ASSOCIATION,PC5,input_count,-0.05214662986134639,-0.1256351806433619
0.09577066582370958,LOW_ACTIVITY_ASSOCIATION,PC5,output_count,-0.009431342203025102,0.09577066582370958
