component,max,mean,median,min,p01,p05,p25,p75,p95,p99,std
PC1,4.950183180988185,-6.196593625814827e-17,-0.2278758154799136,-2.341116872354603,-2.298651165515048,-1.9095542581793024,-1.4869872114002072,1.3211664273078667,2.924815182196203,4.138851941806792,1.6584035292990718
PC2,3.8896183792588803,0.0,-0.021392907152945822,-6.492063259841894,-5.4795736841942695,-1.8764511563824515,-0.7875819573259054,0.792429349271706,2.2968313126184663,3.4303715788833706,1.458331833371018
PC3,3.3060184168709834,-2.1946269091427512e-17,0.010551531895478857,-5.731173484563433,-4.947577428683464,-1.8896846609279414,-0.70165370694095,0.6425305135916433,2.4666848153411025,3.2032661198516132,1.3475899457577543
PC4,2.7015042418175534,9.294890438722241e-17,0.11037574474497444,-8.337755488717992,-3.2282650415266607,-1.849451531807074,-0.6036705659161832,0.6547848605759241,1.9938390280464717,2.285206595003403,1.2489989827397674
PC5,5.529988040088242,1.365187033187329e-16,-0.15239317115011822,-2.22023403807036,-2.0540352564534596,-1.3489550899223175,-0.5610992252990419,0.45157790444101953,1.5113127514140046,3.417162739162174,0.9844767976035673
