address,wallet_status,segment,cluster_id,segment_confidence,n_tx_in_window,tx_per_window_day,tx_per_active_day,gap_mean_s,gap_cv,burstiness,hour_of_day_entropy,day_of_week_entropy,sent_total_ckb,received_total_ckb
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8897n3kut095xgled9dpczz0t7hg7w87un0vrnk,active,Miner / Heavy Activity,2.0,1.0,720,0.9863013698630136,0.98772523391867,87595.37969401947,0.2602749585476479,-0.5869552802229902,0.598853276196925,0.999824403055926,33514.0,21231.0
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq88k0gf2lakdjuntl04ux2mjyalezj598vqnuj2y,unused,Dormant / No Activity,,,0,0.0,,,,,,,0.0,75104.58997218
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq899vvrx27ql0lgaj7x39zamtj8m5twumgvv6h4q,active,Human-like / Daytime,0.0,1.0,53,0.0726027397260273,0.3039578643455274,289716.26923076925,0.4654159311437435,-0.3648002300882716,0.1965208245715076,0.9809612592134778,150.0,69866.36609994002
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq89qeq8sz02jymcmc8nm5qsfmwyxtvqemvnunp36,active,Miner / Heavy Activity,2.0,1.0,283,0.3876712328767123,0.3908818158330091,221822.5035460993,2.513191880549103,0.4307171176521662,0.7686975530137735,0.987831142248518,812227.0,1802555.01559095
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq89s0k62mh0xf6hn8cc20wunuarrumudx5nwq9uk,active,Miner / Heavy Activity,2.0,1.0,815,1.1164383561643836,1.1179604144595008,77378.53808353808,0.4394202122705092,-0.3894483229780723,0.8269727828153615,0.9993991487456948,15309.0,24149.456
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8crqpcx3nq9p23h8ep5zzpga67ygfd73scdttd5,active,Human-like / Daytime,0.0,1.0,3,0.0041095890410958,3.0,735.0,0.3374149659863945,-0.4954221770091556,0.2002842627197175,-0.0,150.0,1130.0
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8gauytada8x688zt0makt3pjmdaad6u8uym77ef,active,Human-like / Daytime,0.0,0.9999999999981597,41,0.0561643835616438,0.1148943734937019,770794.925,2.30460422104999,0.3947838027742612,0.7813917792532986,0.9193223964726812,330214.0,1316448.73434677
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8hrnm86uy32m0wv24eqwyvl4crudtnc3yu82y8n,active,Miner / Heavy Activity,2.0,1.0,504,0.6904109589041096,0.6916795644980519,125161.66998011927,2.2110228323121457,0.3771455064491493,0.902422995555884,0.9983195517015184,16091.0,25724.17
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8jjta82sj7lcz5ewruppmfrrvtg9nh4vvg5klxg,active,Miner / Heavy Activity,2.0,1.0,322,0.4410958904109589,0.4422783074975988,195960.68224299065,2.278784922609098,0.3900179343241285,0.8702419613309433,0.9886715713336324,22954.73674088,25582.65694561
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8kwzq44p8ap4zclfc3vfgw5uxqqnegf0u7t0l86,active,Miner / Heavy Activity,2.0,1.0,314,0.4301369863013699,0.4312264360803085,200998.89776357828,3.3633660272474284,0.5416382701999278,0.7558472339078111,0.9892678933473702,143332.38755777,216580.10074262004
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8m55rrdckag9e5j8hqdyga0ftpwvauxtcult98p,active,Human-like / Daytime,0.0,1.0,1,0.0013698630136986,1.0,,,,-0.0,-0.0,10001.99998279,0.0
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8t3pqdfg3rnsqe8vgv93d49evdzkvpxcce0ml7v,active,Miner / Heavy Activity,2.0,1.0,701,0.9602739726027396,0.9612167489618892,90014.48285714285,0.5475831306860177,-0.2923376847054629,0.8575395055956123,0.999938218712761,30642.930319190004,30642.9363599
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq90ay9s9atj3rpajv38hnx5nashk3tnstqcu3khf,active,Human-like / Daytime,0.0,1.0,37,0.0506849315068493,0.6892287313172185,128839.66666666669,0.7809153462666736,-0.1230180054277104,0.8679371850843205,0.9902507729536278,1769.10995311,1883.89856778
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq92dx9xep8pwxacajpvvlcj4j7tlk9uhng4j74ms,active,Miner / Heavy Activity,2.0,1.0,304,0.4164383561643835,0.4172055680461986,207775.62706270628,2.3504309834879766,0.4030618717840611,0.9130974680966546,0.9860682074753856,11914421.15392248,22465745.13230236
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq94q52uky0frd8sge5jnfwnm89zclmrg35ltra3y,active,Human-like / Daytime,0.0,1.0,44,0.0602739726027397,0.2407112378829948,367283.6511627907,2.615514647662288,0.4468284062150997,0.8123209829297607,0.7973316738586452,150.0,80194.9857
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq97nlhckh68mupdw9w33xhp4hedejskhxs9ef2y4,active,Miner / Heavy Activity,2.0,1.0,735,1.0068493150684932,1.0082014162384887,85813.91553133515,0.9521247559495746,-0.0245246846568151,0.3924226803760233,0.9991853788573182,8146.40807897,23175.805536220007
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq9ef4udwfyuwywlsqwy08wpapagss8ej8yxj50cr,active,Miner / Heavy Activity,2.0,1.0,886,1.2136986301369863,1.21652604250016,71102.1581920904,7.274612283855222,0.7582968323600799,0.8921671376595921,0.9913461050880868,28634771.6007033,36941472.71923124
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq9fmlyjt4ydumr7u27ltfz3vjfj2s2hgmgwc8awk,active,Human-like / Daytime,0.0,1.0,3,0.0041095890410958,3.0,107.5,0.6744186046511628,-0.1944444444444444,-0.0,-0.0,26530.99889241,20003.99996558
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq9fz7cfu5xla5nd3ay686gm2ajnzh89h8c48k7uz,active,Miner / Heavy Activity,2.0,1.0,719,0.9849315068493152,0.9863529861273946,87717.41504178273,0.2579826864201842,-0.5898469999546332,0.5957327986900872,0.9998149550043712,22492.0,23691.0
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq9m8eyncfhezf8s68djzwk5f9yjgwc6frqej2wsh,active,Miner / Heavy Activity,2.0,1.0,352,0.4821917808219178,0.4954501871353712,174883.68376068375,4.055101047450149,0.6043600352936915,0.7917932544416906,0.9985784274882896,12461.07170439,59952.75955345
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqx0f0kn59zeww42ufe72s3zp843zjtm70qknllc8,active,Miner / Heavy Activity,2.0,1.0,114,0.1561643835616438,0.1567156239109512,556195.9911504425,4.884398760608793,0.6601182072519703,0.8885028377284766,0.943315335498934,705132.88387839,1240947.8153344698
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqx8ced038s4z2vxfkqu7jzdcqs7q6qhxjqxupv3g,active,Human-like / Daytime,0.0,1.0,3,0.0041095890410958,0.0538826928873598,2405225.0,0.9998515731376484,-7.421893921801512e-05,0.2002842627197175,-0.0,500.00000000000006,1550519.93380811
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqxamnrpernhha9nsyus0k6f8a6ays6t0cusm37pn,active,Miner / Heavy Activity,2.0,1.0,1184,1.621917808219178,1.624331100876297,53236.08875739645,0.7881411925509182,-0.1184799099375644,0.6806749760462611,0.993258530729719,240421.1774808,1059556.9645833
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqxeawela8galsacxfd7d4xaymhy9jpmqeqyruqve,active,Human-like / Daytime,0.0,1.0,3,0.0041095890410958,0.0041202301599989,31454553.5,0.9915256148843442,-0.0042552227560216,0.2002842627197175,0.3271035759815648,978.99,0.0
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqxmkl3lngrcklwa8grdc8ja6n4s40pu4sc0w0aln,active,Human-like / Daytime,0.0,1.0,26,0.0356164383561643,0.0412694561125127,2177300.32,4.409616036559728,0.6302879933652537,0.5756915110697386,0.6760183737279534,47770.926681690005,51188.93726597
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqxuz9n0wyhs86wrqr5309qaz5jsxe3805gnlmc95,active,Human-like / Daytime,0.0,1.0,1,0.0013698630136986,1.0,,,,-0.0,-0.0,10001.99998279,0.0
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqxvxkq3zapxvyv6qktfyhq84puycg59s2q0smpl6,active,Miner / Heavy Activity,2.0,1.0,731,1.001369863013699,1.0101819354005557,85646.31095890411,0.4719869874987683,-0.3587076631692531,0.7802845303883541,0.9998523148999184,1047.0,4808.89116828
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqy5z928yw33t5enjqglmeq7w23dk99q7qvm3yvlr,active,Human-like / Daytime,0.0,1.0,15,0.0205479452054794,9.077219401155665,10198.214285714286,2.4153302041618803,0.4144050851765888,0.4702138992056592,0.2571559759740807,900.0,1798.99878932
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqydhfg585sfcxu5gpaqs5sme8rn30c5yagaawuq2,active,Miner / Heavy Activity,2.0,1.0,717,0.9821917808219178,0.9836093060547176,87962.43575418994,0.2521744020801647,-0.597221598427117,0.5961546177067201,0.9998545306309208,22428.0,23618.0
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqygpfd4a3nnel8tg9ntkwayy9hx537qf4yyyg3v0,unused,Dormant / No Activity,,,0,0.0,,,,,,,0.0,0.0
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqyknjsdgjmz9a475mzuledqlm82yujj4vu8xllec,active,Miner / Heavy Activity,2.0,1.0,658,0.9013698630136986,0.9046205562845496,95655.0304414003,5.579546621878643,0.6960276877817846,0.8893293459181596,0.9821151098676904,2945269.73507136,7314001.79099753
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqym5d4n465eu93tdcz5sycepdkatjahp9uwdcpfy,active,Miner / Heavy Activity,2.0,1.0,721,0.9876712328767124,0.9890970745213348,87473.71944444445,0.2626853307170132,-0.5839259008927459,0.600437920343109,0.9997798845989928,39436.0,32695.99987782
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqymvu6d289ggsyudpamr4g6ayz62gpp34qzy30vs,active,Miner / Heavy Activity,2.0,1.0,698,0.9561643835616438,0.9571031252145488,90401.91965566714,0.5425260128396616,-0.2965745688256932,0.8573396128898556,0.9999725563940268,30555.38894312,30555.38137072
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqytevmf523qgwexunz0pf59ysl6dvxvvusuft43p,active,Miner / Heavy Activity,2.0,1.0,110,0.1506849315068493,0.1521856486851626,572936.1559633027,2.479499155204341,0.4252046312445374,0.8922209645246253,0.9678777820616564,5022651.52428033,8989735.062288221
