capacity__mean_target_input_capacity_shannon,capacity__mean_target_output_capacity_shannon,capacity__median_abs_target_delta_shannon,capacity__target_input_capacity_shannon,capacity__target_net_capacity_delta_shannon,capacity__target_output_capacity_shannon,rule__BATCH_DISTRIBUTION__score,rule__FAN_IN_COLLECTION__score,rule__PERIODIC_EXECUTION__score,scripts__cells_with_full_script,scripts__total_cells,templates__dominant_template_ratio,templates__template_entropy,templates__template_repeat_ratio,templates__template_transition_entropy,templates__unique_template_count,temporal__active_hour_entropy,temporal__active_weekday_entropy,temporal__burstiness,temporal__dominant_period_seconds,temporal__interarrival_cv,temporal__interarrival_mean_seconds,temporal__interarrival_median_seconds,temporal__interarrival_std_seconds,temporal__interval_repeat_ratio,temporal__n_observed_transactions,temporal__periodicity_strength,temporal__phase_stability,topology__cell_consolidation_ratio,topology__cell_fragmentation_ratio,topology__fanin_transaction_ratio,topology__fanout_transaction_ratio,topology__many_to_many_ratio,topology__max_input_cells_per_tx,topology__max_output_cells_per_tx,topology__mean_external_input_locks,topology__mean_external_output_locks,topology__mean_input_cells_per_tx,topology__mean_output_cells_per_tx,topology__topology_entropy,topology__topology_repeat_ratio,transaction_count_30d
133271000163867.8,132546397619647.6,819391906121,666355000819339,-3623012721101,662731988098238,0.6666666666666666,1.0,,27,52,0.2,2.321928094887362,0.0,2.0,5,-0.0,-0.0,-0.04865695855951347,,0.9072013814196188,154.75,88.5,140.389413774686,0.0,5,,,0.0,0.4,1.0,1.0,1.0,5,6,3,3,5,5.4,0.9709505944546686,0.6,5
15993356501283.625,13182377460509.25,2301929570046.5,127946852010269,-22487832326195,105459019684074,0.6666666666666666,1.0,0.0,40,80,0.125,3.0,0.0,2.8073549220576037,8,0.11855373803255766,-0.0,0.4196459315799051,89,2.4461721022213645,87487.71428571429,89,214010.0059728278,0.14285714285714285,8,0.7300759263328914,0.5218368031461065,0.0,0.0,1.0,1.0,1.0,5,5,3,3,5,5,0.0,1.0,8
15000000000,15000000000,0.0,450000000000,0,450000000000,0.6666666666666666,0.6666666666666666,0.0,90,150,0.03333333333333333,4.906890595608519,0.0,4.857980995127572,30,0.7705438296220996,0.8939680826222827,0.17203668660161564,15102,1.4155659648625958,70866.24137931035,15102,100315.83935428906,0.034482758620689655,30,0.37246301521644637,0.2320397443911292,0.0,1.0,1.0,1.0,1.0,2,3,1,2,2,3,0.0,1.0,30
29367747987404.668,33773230986794.668,280000000000,88103243962214,13216448998170,101319692960384,0.0,0.0,,0,21,0.3333333333333333,1.584962500721156,0.0,1.0,3,,,,,,,,,,,,,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,10,2,0.6666666666666666,1,5,2,1.0,0.3333333333333333,3
309362725967,303062724135,6300001832,309362725967,-6300001832,303062724135,,,,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
7827028904.8,7827027962.8,6300000942.0,234810867144,-28260,234810838884,0.6666666666666666,0.3333333333333333,1.0,0,120,0.26666666666666666,1.9967916319816368,1.0,1.9974826032927555,4,0.25016493498306364,0.9972309552488496,-0.6135439684226063,86188,0.23950759269063576,86343.13793103448,86188,20679.83711121759,0.7931034482758621,30,0.9800594801490189,0.8755852636975128,0.0,0.0,0.0,0.5,0.0,2,2,0.5,1,2,2,1.0,0.5,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
237517187526.52173,530421454679.7826,57541,5462895313110,6736798144525,12199693457635,0.0,0.3333333333333333,0.0,28,64,0.043478260869565216,4.523561956057013,0.0,4.459431618637297,23,0.12183946397911301,0.0919081041864507,0.5244934606533962,102.0,3.2060409994533634,66830.86363636363,102.0,214262.4888470587,0.09090909090909091,23,0.6125062831380046,0.1682826889326457,0.13043478260869565,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.0,10,3,0.08695652173913043,0.043478260869565216,1.565217391304348,1.2173913043478262,0.5052636515984086,0.782608695652174,23
305208389667.06665,334886574577.06665,1884.0,9156251690012,890345547300,10046597237312,0.3333333333333333,0.3333333333333333,1.0,0,118,0.3333333333333333,2.175279365539379,0.8666666666666667,2.642848893143865,7,0.5116566488375539,0.9894535033977967,-0.491702051980212,86520,0.34075031762879865,86455.27586206897,86520,29459.66271068541,0.4827586206896552,30,0.9424309272353938,0.8541955308208469,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,2,2,0.06666666666666667,0.1,1.9333333333333333,2,0.3588294465509664,0.8666666666666667,30
70333332723.33333,102999978104.66667,15000001830,210999998170,97999936144,308999934314,0.0,0.0,,1,9,0.3333333333333333,1.584962500721156,0.0,1.0,3,,,,,,,,,,,,,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,1,2,0.3333333333333333,0.6666666666666666,1,2,1.0,0.3333333333333333,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11996660173139.777,8195334065699.611,99583257181.0,215939883116516,-68423869933923,147516013182593,0.3333333333333333,0.0,0.0,20,62,0.3333333333333333,2.4466166676282084,0.6666666666666666,3.6168746059562213,8,0.6579935376335244,0.8598249708321245,0.04690166722005436,76666.5,1.0984193668312359,127588.875,76666.5,140146.0912922097,0.125,18,0.3691171162651018,0.26055147801318085,0.1111111111111111,0.0,0.0,0.2777777777777778,0.0,3,2,0,0.2777777777777778,1.7777777777777777,1.6666666666666667,0.9206250851407773,0.3888888888888889,18
0,6300000000,6300000000,0,6300000000,6300000000,,,,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
