address,collection_state,evidence_state,attempt_count,last_attempt_at,last_successful_stage,last_error,last_error_type,last_http_status,failure_scope,sampling_stratum,lifetime_tx_count,failure_category,recommendation
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0gcpdgn07xeev0gcfc9eskt7zvmnvwyuqv3vek3,PARTIAL,PARTIAL,1,2026-08-31T23:34:34.029478+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0gcpdgn07xeev0gcfc9eskt7zvmnvwyuqv3vek3: The read operation timed out,,,,unknown,,other,NEEDS_MANUAL_REVIEW
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0gtpf9ptxw2y59p8wmpw4hjsnyxua6mcq6naedm,FAILED_RETRY_EXHAUSTED,PARTIAL,1,2026-09-01T01:10:12.953742+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0gtpf9ptxw2y59p8wmpw4hjsnyxua6mcq6naedm: The read operation timed out,EXPLORER_TIMEOUT,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0klfn2n06tvww62dplr3rlawsgrn6hrxgrp7xfh,FAILED_RETRY_EXHAUSTED,PARTIAL,1,2026-09-01T01:12:56.259973+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0klfn2n06tvww62dplr3rlawsgrn6hrxgrp7xfh: The read operation timed out,EXPLORER_TIMEOUT,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0msaj6cvf2tgju69tdu4sfreu2uch2ynqsm7elv,FAILED_RETRY_EXHAUSTED,PARTIAL,1,2026-09-01T01:19:38.675119+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0msaj6cvf2tgju69tdu4sfreu2uch2ynqsm7elv: The read operation timed out,EXPLORER_TIMEOUT,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0p2y5tnuw0y02sequmjwswja4v5ywc3ag3xanwy,FAILED_RETRY_EXHAUSTED,PARTIAL,1,2026-09-01T01:22:07.215958+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0p2y5tnuw0y02sequmjwswja4v5ywc3ag3xanwy: The read operation timed out,EXPLORER_TIMEOUT,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0pdhpc9sunxtmp8qaanlueu5n3u75mkxg2w3n05,FAILED_RETRY_EXHAUSTED,PARTIAL,1,2026-09-01T01:24:12.718169+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0pdhpc9sunxtmp8qaanlueu5n3u75mkxg2w3n05: The read operation timed out,EXPLORER_TIMEOUT,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0qk47rqhszdekuue524qgx8e5qq225w9s5qmjze,FAILED_RETRY_EXHAUSTED,PARTIAL,1,2026-09-01T01:26:18.441073+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0qk47rqhszdekuue524qgx8e5qq225w9s5qmjze: The read operation timed out,EXPLORER_TIMEOUT,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0r6u0pkm3j5lhvy5dlqe0wcppr4cftwacwfa6sd,FAILED_RETRY_EXHAUSTED,PARTIAL,1,2026-09-01T01:28:18.636718+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0r6u0pkm3j5lhvy5dlqe0wcppr4cftwacwfa6sd: The read operation timed out,EXPLORER_TIMEOUT,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0s2sjs6vxhfxkk22fms3k3tt4c02c9jmc5y4vrm,FAILED_RETRY_EXHAUSTED,PARTIAL,1,2026-09-01T01:30:54.608162+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0s2sjs6vxhfxkk22fms3k3tt4c02c9jmc5y4vrm: The read operation timed out,EXPLORER_TIMEOUT,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0vj3wagz8q49m3khkzum23dqwuhv5furgwqhs52,FAILED_RETRY_EXHAUSTED,PARTIAL,1,2026-09-01T01:33:35.097420+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0vj3wagz8q49m3khkzum23dqwuhv5furgwqhs52: The read operation timed out,EXPLORER_TIMEOUT,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
